Month of Observation,Median Home Price (NSA),Inflation Adjusted Price
1/1/1953,"$18,080.26 ","$182,262.46 "
2/1/1953,"$18,080.26 ","$182,605.19 "
3/1/1953,"$18,080.26 ","$182,330.90 "
4/1/1953,"$18,122.25 ","$182,343.51 "
5/1/1953,"$18,143.25 ","$182,486.44 "
6/1/1953,"$18,143.25 ","$182,009.26 "
7/1/1953,"$18,185.25 ","$182,294.40 "
8/1/1953,"$18,206.25 ","$182,097.08 "
9/1/1953,"$18,227.25 ","$182,035.93 "
10/1/1953,"$18,227.25 ","$181,630.66 "
11/1/1953,"$18,206.25 ","$182,097.08 "
12/1/1953,"$18,206.25 ","$181,961.54 "
1/1/1954,"$18,206.25 ","$181,488.74 "
2/1/1954,"$18,227.25 ","$181,361.48 "
3/1/1954,"$18,227.25 ","$181,765.55 "
4/1/1954,"$18,206.25 ","$182,029.29 "
5/1/1954,"$18,206.25 ","$181,556.13 "
6/1/1954,"$18,227.25 ","$181,698.08 "
7/1/1954,"$18,290.25 ","$182,869.13 "
8/1/1954,"$18,332.24 ","$183,357.22 "
9/1/1954,"$18,374.24 ","$184,051.49 "
10/1/1954,"$18,353.24 ","$184,460.37 "
11/1/1954,"$18,353.24 ","$184,047.09 "
12/1/1954,"$18,374.24 ","$184,326.50 "
1/1/1955,"$18,395.24 ","$184,537.17 "
2/1/1955,"$18,332.24 ","$183,562.32 "
3/1/1955,"$18,290.25 ","$183,346.96 "
4/1/1955,"$18,185.25 ","$182,294.40 "
5/1/1955,"$18,185.25 ","$182,430.60 "
6/1/1955,"$18,269.25 ","$183,684.96 "
7/1/1955,"$18,332.24 ","$183,973.89 "
8/1/1955,"$18,437.24 ","$185,304.61 "
9/1/1955,"$18,479.24 ","$184,827.50 "
10/1/1955,"$18,458.24 ","$184,823.97 "
11/1/1955,"$18,416.24 ","$183,991.80 "
12/1/1955,"$18,374.24 ","$183,640.51 "
1/1/1956,"$18,332.24 ","$183,493.90 "
2/1/1956,"$18,269.25 ","$182,659.17 "
3/1/1956,"$18,206.25 ","$181,826.20 "
4/1/1956,"$18,122.25 ","$180,718.47 "
5/1/1956,"$18,143.25 ","$180,258.53 "
6/1/1956,"$18,332.24 ","$181,331.17 "
7/1/1956,"$18,479.24 ","$181,847.50 "
8/1/1956,"$18,605.23 ","$182,953.25 "
9/1/1956,"$18,584.23 ","$182,479.47 "
10/1/1956,"$18,563.24 ","$181,213.26 "
11/1/1956,"$18,521.24 ","$180,803.25 "
12/1/1956,"$18,542.24 ","$180,222.12 "
1/1/1957,"$18,605.23 ","$180,572.94 "
2/1/1957,"$18,773.23 ","$181,351.43 "
3/1/1957,"$18,773.23 ","$180,960.86 "
4/1/1957,"$18,899.22 ","$181,718.74 "
5/1/1957,"$18,962.22 ","$181,868.68 "
6/1/1957,"$18,899.22 ","$180,555.12 "
7/1/1957,"$18,899.22 ","$180,042.73 "
8/1/1957,"$18,899.22 ","$179,469.75 "
9/1/1957,"$18,962.22 ","$179,813.67 "
10/1/1957,"$19,067.21 ","$180,809.26 "
11/1/1957,"$19,067.21 ","$180,236.48 "
12/1/1957,"$19,046.22 ","$179,658.64 "
1/1/1958,"$19,067.21 ","$178,789.05 "
2/1/1958,"$19,067.21 ","$178,415.27 "
3/1/1958,"$19,235.21 ","$178,927.43 "
4/1/1958,"$19,277.21 ","$178,884.38 "
5/1/1958,"$19,319.20 ","$179,274.03 "
6/1/1958,"$19,214.21 ","$178,484.79 "
7/1/1958,"$19,214.21 ","$178,608.35 "
8/1/1958,"$19,193.21 ","$178,104.90 "
9/1/1958,"$19,130.21 ","$177,704.50 "
10/1/1958,"$19,109.21 ","$177,509.42 "
11/1/1958,"$19,151.21 ","$177,653.77 "
12/1/1958,"$19,172.21 ","$177,725.79 "
1/1/1959,"$19,130.21 ","$177,091.93 "
2/1/1959,"$19,109.21 ","$176,958.53 "
3/1/1959,"$19,109.21 ","$177,141.78 "
4/1/1959,"$19,109.21 ","$177,080.66 "
5/1/1959,"$19,193.21 ","$177,491.59 "
6/1/1959,"$19,193.21 ","$177,064.78 "
7/1/1959,"$19,130.21 ","$176,241.41 "
8/1/1959,"$19,109.21 ","$175,866.94 "
9/1/1959,"$19,151.21 ","$175,831.68 "
10/1/1959,"$19,256.21 ","$176,193.34 "
11/1/1959,"$19,277.21 ","$176,385.49 "
12/1/1959,"$19,193.21 ","$175,258.61 "
1/1/1960,"$19,256.21 ","$176,073.36 "
2/1/1960,"$19,256.21 ","$175,833.88 "
3/1/1960,"$19,256.21 ","$175,833.88 "
4/1/1960,"$19,256.21 ","$175,060.07 "
5/1/1960,"$19,214.21 ","$174,501.03 "
6/1/1960,"$19,172.21 ","$173,884.37 "
7/1/1960,"$19,172.21 ","$174,237.43 "
8/1/1960,"$19,256.21 ","$174,646.22 "
9/1/1960,"$19,340.20 ","$175,407.97 "
10/1/1960,"$19,403.20 ","$175,151.22 "
11/1/1960,"$19,340.20 ","$174,406.65 "
12/1/1960,"$19,340.20 ","$174,231.13 "
1/1/1961,"$19,340.20 ","$174,055.97 "
2/1/1961,"$19,298.20 ","$173,677.98 "
3/1/1961,"$19,340.20 ","$174,055.97 "
4/1/1961,"$19,256.21 ","$173,474.49 "
5/1/1961,"$19,319.20 ","$173,866.97 "
6/1/1961,"$19,298.20 ","$173,677.98 "
7/1/1961,"$19,361.20 ","$173,779.06 "
8/1/1961,"$19,382.20 ","$173,851.34 "
9/1/1961,"$19,382.20 ","$173,619.39 "
10/1/1961,"$19,382.20 ","$173,619.39 "
11/1/1961,"$19,487.20 ","$174,559.94 "
12/1/1961,"$19,529.20 ","$174,761.29 "
1/1/1962,"$19,550.19 ","$174,774.40 "
2/1/1962,"$19,508.20 ","$173,993.58 "
3/1/1962,"$19,508.20 ","$173,647.55 "
4/1/1962,"$19,508.20 ","$173,417.63 "
5/1/1962,"$19,613.19 ","$174,177.97 "
6/1/1962,"$19,634.19 ","$174,537.62 "
7/1/1962,"$19,634.19 ","$174,479.86 "
8/1/1962,"$19,634.19 ","$174,134.13 "
9/1/1962,"$19,613.19 ","$173,147.33 "
10/1/1962,"$19,571.19 ","$173,004.04 "
11/1/1962,"$19,592.19 ","$173,189.67 "
