DATE,AKSTHPI
1975-01-01,62.63
1975-04-01,64.13
1975-07-01,67.18
1975-10-01,68.59
1976-01-01,71.05
1976-04-01,73.22
1976-07-01,74.58
1976-10-01,74.33
1977-01-01,80.32
1977-04-01,78.7
1977-07-01,83.44
1977-10-01,78.12
1978-01-01,79.9
1978-04-01,86.41
1978-07-01,88.67
1978-10-01,86.6
1979-01-01,89.95
1979-04-01,99.39
1979-07-01,97.17
1979-10-01,96.62
1980-01-01,100.00
1980-04-01,83.43
1980-07-01,73.76
1980-10-01,95.64
1981-01-01,89.65
1981-04-01,109.26
1981-07-01,116.97
1981-10-01,129.89
1982-01-01,137.28
1982-04-01,132.36
1982-07-01,141.71
1982-10-01,140.82
1983-01-01,139.71
1983-04-01,141.23
1983-07-01,147.39
1983-10-01,146.94
1984-01-01,151.07
1984-04-01,148.66
1984-07-01,155.39
1984-10-01,153.52
1985-01-01,145.55
1985-04-01,146.14
1985-07-01,146.7
1985-10-01,142.77
1986-01-01,143.53
1986-04-01,145.9
1986-07-01,141.33
1986-10-01,138.07
1987-01-01,134.36
1987-04-01,125.11
1987-07-01,116.74
1987-10-01,105.72
1988-01-01,121.67
1988-04-01,116.11
1988-07-01,127.33
1988-10-01,132.9
1989-01-01,129.41
1989-04-01,105.05
1989-07-01,104.8
1989-10-01,102.75
1990-01-01,99.33
1990-04-01,113.14
1990-07-01,122.81
1990-10-01,120.72
1991-01-01,124.96
1991-04-01,128.08
1991-07-01,132.05
1991-10-01,132.11
1992-01-01,133.9
1992-04-01,135.2
1992-07-01,135.9
1992-10-01,136.45
1993-01-01,136.26
1993-04-01,136.83
1993-07-01,139.28
1993-10-01,140.06
1994-01-01,141.14
1994-04-01,144.4
1994-07-01,146.37
1994-10-01,145.31
1995-01-01,147.64
1995-04-01,150.17
1995-07-01,151.69
1995-10-01,152.13
1996-01-01,154.59
1996-04-01,157.07
1996-07-01,157.61
1996-10-01,159.61
1997-01-01,159.43
1997-04-01,160.72
1997-07-01,161.99
1997-10-01,164.14
1998-01-01,163.88
1998-04-01,166.62
1998-07-01,168.12
1998-10-01,167.9
1999-01-01,169.9
1999-04-01,173.54
1999-07-01,173.13
1999-10-01,173.24
2000-01-01,173.01
2000-04-01,175.2
2000-07-01,176.35
2000-10-01,176.8
2001-01-01,179.96
2001-04-01,183.7
2001-07-01,186.35
2001-10-01,186.62
2002-01-01,189.59
2002-04-01,194.99
2002-07-01,196.3
2002-10-01,195.84
2003-01-01,197.14
2003-04-01,200.24
2003-07-01,204.77
2003-10-01,212.82
2004-01-01,214.17
2004-04-01,219.33
2004-07-01,230.61
2004-10-01,233.02
2005-01-01,238.91
2005-04-01,247.86
2005-07-01,256.71
2005-10-01,264.46
2006-01-01,268.78
2006-04-01,275.31
2006-07-01,280.54
2006-10-01,282.2
2007-01-01,286.12
2007-04-01,288.95
2007-07-01,287.93
2007-10-01,287.27
2008-01-01,287.16
2008-04-01,287.58
2008-07-01,283.98
2008-10-01,286.68
2009-01-01,287.25
2009-04-01,284.48
2009-07-01,283.26
2009-10-01,284.79
2010-01-01,280.46
2010-04-01,282.95
2010-07-01,284.44
2010-10-01,285.27
2011-01-01,285.12
2011-04-01,284.71
2011-07-01,285.29
2011-10-01,287.51
2012-01-01,285.34
2012-04-01,284.71
2012-07-01,287.67
2012-10-01,289.84
2013-01-01,293.15
2013-04-01,293.88
2013-07-01,297.1
2013-10-01,298.19
2014-01-01,295.48
2014-04-01,301.53
2014-07-01,305.21
2014-10-01,304.57
2015-01-01,307.36
2015-04-01,310.38
2015-07-01,313.97
2015-10-01,315.0
2016-01-01,315.89
2016-04-01,317.88
2016-07-01,319.88
2016-10-01,317.99
2017-01-01,319.44
2017-04-01,319.95
2017-07-01,323.34
2017-10-01,324.51
2018-01-01,322.32
2018-04-01,326.57
2018-07-01,326.27
2018-10-01,326.35
2019-01-01,328.56
2019-04-01,333.38
2019-07-01,335.87
2019-10-01,335.41
2020-01-01,338.77
2020-04-01,342.47
2020-07-01,346.35
2020-10-01,350.37
2021-01-01,352.78
2021-04-01,365.89
