DATE,CASTHPI
1975-01-01,41.66
1975-04-01,42.73
1975-07-01,44.29
1975-10-01,45.79
1976-01-01,47.81
1976-04-01,50.24
1976-07-01,53.55
1976-10-01,55.55
1977-01-01,58.02
1977-04-01,62.99
1977-07-01,67.93
1977-10-01,70.65
1978-01-01,73.21
1978-04-01,75.99
1978-07-01,78.6
1978-10-01,81.77
1979-01-01,84.84
1979-04-01,88.61
1979-07-01,93.08
1979-10-01,96.4
1980-01-01,100.00
1980-04-01,102.84
1980-07-01,106.55
1980-10-01,108.41
1981-01-01,110.44
1981-04-01,112.95
1981-07-01,116.34
1981-10-01,117.54
1982-01-01,104.54
1982-04-01,107.53
1982-07-01,105.01
1982-10-01,115.89
1983-01-01,116.75
1983-04-01,117.46
1983-07-01,117.28
1983-10-01,117.8
1984-01-01,119.52
1984-04-01,120.14
1984-07-01,121.74
1984-10-01,122.82
1985-01-01,124.55
1985-04-01,126.35
1985-07-01,129.19
1985-10-01,130.6
1986-01-01,132.29
1986-04-01,134.84
1986-07-01,137.78
1986-10-01,141.15
1987-01-01,144.76
1987-04-01,148.32
1987-07-01,153.0
1987-10-01,157.33
1988-01-01,163.08
1988-04-01,169.81
1988-07-01,177.88
1988-10-01,187.62
1989-01-01,196.4
1989-04-01,206.07
1989-07-01,217.96
1989-10-01,224.81
1990-01-01,227.6
1990-04-01,228.33
1990-07-01,230.25
1990-10-01,228.7
1991-01-01,228.62
1991-04-01,227.2
1991-07-01,227.19
1991-10-01,228.86
1992-01-01,227.66
1992-04-01,225.3
1992-07-01,224.86
1992-10-01,222.76
1993-01-01,219.31
1993-04-01,217.42
1993-07-01,215.58
1993-10-01,214.3
1994-01-01,212.18
1994-04-01,207.05
1994-07-01,203.99
1994-10-01,201.09
1995-01-01,199.76
1995-04-01,201.67
1995-07-01,204.01
1995-10-01,203.67
1996-01-01,203.64
1996-04-01,201.06
1996-07-01,200.69
1996-10-01,201.73
1997-01-01,202.69
1997-04-01,204.72
1997-07-01,208.77
1997-10-01,212.42
1998-01-01,217.06
1998-04-01,221.81
1998-07-01,227.67
1998-10-01,232.06
1999-01-01,235.56
1999-04-01,239.58
1999-07-01,245.08
1999-10-01,250.29
2000-01-01,261.18
2000-04-01,268.19
2000-07-01,277.19
2000-10-01,285.76
2001-01-01,296.79
2001-04-01,305.88
2001-07-01,312.31
2001-10-01,316.7
2002-01-01,325.16
2002-04-01,336.2
2002-07-01,348.85
2002-10-01,359.05
2003-01-01,367.34
2003-04-01,374.23
2003-07-01,386.91
2003-10-01,411.67
2004-01-01,424.93
2004-04-01,451.52
2004-07-01,497.43
2004-10-01,516.53
2005-01-01,539.06
2005-04-01,570.63
2005-07-01,599.06
2005-10-01,625.78
2006-01-01,638.73
2006-04-01,644.57
2006-07-01,646.73
2006-10-01,642.94
2007-01-01,634.19
2007-04-01,623.52
2007-07-01,600.23
2007-10-01,575.84
2008-01-01,543.62
2008-04-01,498.78
2008-07-01,461.03
2008-10-01,445.14
2009-01-01,441.1
2009-04-01,420.96
2009-07-01,411.7
2009-10-01,413.03
2010-01-01,409.99
2010-04-01,408.81
2010-07-01,411.01
2010-10-01,406.49
2011-01-01,392.03
2011-04-01,385.75
2011-07-01,387.31
2011-10-01,386.1
2012-01-01,381.79
2012-04-01,382.46
2012-07-01,391.3
2012-10-01,399.57
2013-01-01,408.07
2013-04-01,426.93
2013-07-01,448.37
2013-10-01,463.29
2014-01-01,472.96
2014-04-01,485.68
2014-07-01,495.85
2014-10-01,501.44
2015-01-01,506.56
2015-04-01,518.06
2015-07-01,531.36
2015-10-01,538.62
2016-01-01,545.65
2016-04-01,555.19
2016-07-01,567.25
2016-10-01,574.12
2017-01-01,580.62
2017-04-01,592.74
2017-07-01,604.41
2017-10-01,613.22
2018-01-01,623.75
2018-04-01,635.74
2018-07-01,643.76
2018-10-01,643.63
2019-01-01,647.55
2019-04-01,654.05
2019-07-01,660.81
2019-10-01,664.95
2020-01-01,670.96
2020-04-01,678.57
2020-07-01,686.25
2020-10-01,699.96
2021-01-01,718.19
2021-04-01,759.15
