DATE,COSTHPI
1975-01-01,54.35
1975-04-01,54.63
1975-07-01,54.71
1975-10-01,54.82
1976-01-01,54.82
1976-04-01,59.8
1976-07-01,59.52
1976-10-01,61.96
1977-01-01,64.88
1977-04-01,65.58
1977-07-01,69.0
1977-10-01,72.89
1978-01-01,75.91
1978-04-01,79.87
1978-07-01,84.08
1978-10-01,87.41
1979-01-01,91.73
1979-04-01,94.48
1979-07-01,97.46
1979-10-01,99.46
1980-01-01,100.00
1980-04-01,102.25
1980-07-01,107.06
1980-10-01,106.57
1981-01-01,106.56
1981-04-01,108.56
1981-07-01,114.65
1981-10-01,110.46
1982-01-01,119.68
1982-04-01,120.96
1982-07-01,122.6
1982-10-01,126.58
1983-01-01,126.21
1983-04-01,125.21
1983-07-01,126.58
1983-10-01,122.07
1984-01-01,126.26
1984-04-01,125.61
1984-07-01,125.78
1984-10-01,123.54
1985-01-01,126.37
1985-04-01,125.63
1985-07-01,126.65
1985-10-01,124.34
1986-01-01,128.85
1986-04-01,129.6
1986-07-01,128.73
1986-10-01,128.04
1987-01-01,129.8
1987-04-01,128.27
1987-07-01,125.54
1987-10-01,124.44
1988-01-01,125.4
1988-04-01,125.17
1988-07-01,123.95
1988-10-01,123.46
1989-01-01,123.54
1989-04-01,124.46
1989-07-01,126.99
1989-10-01,126.49
1990-01-01,127.14
1990-04-01,128.14
1990-07-01,129.1
1990-10-01,129.41
1991-01-01,130.89
1991-04-01,132.55
1991-07-01,133.71
1991-10-01,135.97
1992-01-01,137.89
1992-04-01,140.95
1992-07-01,144.02
1992-10-01,146.72
1993-01-01,149.42
1993-04-01,153.07
1993-07-01,157.4
1993-10-01,161.34
1994-01-01,166.01
1994-04-01,173.68
1994-07-01,177.98
1994-10-01,179.45
1995-01-01,182.76
1995-04-01,186.36
1995-07-01,190.1
1995-10-01,192.95
1996-01-01,195.35
1996-04-01,197.86
1996-07-01,200.07
1996-10-01,202.79
1997-01-01,204.94
1997-04-01,207.62
1997-07-01,210.91
1997-10-01,214.2
1998-01-01,217.22
1998-04-01,219.83
1998-07-01,223.86
1998-10-01,226.59
1999-01-01,230.99
1999-04-01,238.11
1999-07-01,245.94
1999-10-01,250.18
2000-01-01,259.63
2000-04-01,265.96
2000-07-01,272.98
2000-10-01,279.07
2001-01-01,286.92
2001-04-01,292.75
2001-07-01,298.15
2001-10-01,300.58
2002-01-01,304.1
2002-04-01,307.44
2002-07-01,311.81
2002-10-01,313.73
2003-01-01,314.62
2003-04-01,315.98
2003-07-01,317.38
2003-10-01,321.08
2004-01-01,323.44
2004-04-01,325.93
2004-07-01,330.51
2004-10-01,333.72
2005-01-01,337.2
2005-04-01,342.21
2005-07-01,347.53
2005-10-01,350.89
2006-01-01,351.92
2006-04-01,353.84
2006-07-01,355.4
2006-10-01,358.71
2007-01-01,359.66
2007-04-01,360.58
2007-07-01,358.29
2007-10-01,359.14
2008-01-01,361.04
2008-04-01,358.87
2008-07-01,351.92
2008-10-01,352.86
2009-01-01,359.33
2009-04-01,353.51
2009-07-01,345.11
2009-10-01,344.17
2010-01-01,340.36
2010-04-01,336.41
2010-07-01,340.65
2010-10-01,339.12
2011-01-01,330.67
2011-04-01,324.83
2011-07-01,328.13
2011-10-01,330.99
2012-01-01,329.26
2012-04-01,330.13
2012-07-01,335.59
2012-10-01,338.55
2013-01-01,342.7
2013-04-01,349.79
2013-07-01,358.44
2013-10-01,361.63
2014-01-01,366.77
2014-04-01,379.32
2014-07-01,387.72
2014-10-01,393.59
2015-01-01,400.9
2015-04-01,417.63
2015-07-01,432.75
2015-10-01,438.78
2016-01-01,446.56
2016-04-01,462.33
2016-07-01,474.83
2016-10-01,481.66
2017-01-01,490.17
2017-04-01,507.63
2017-07-01,515.35
2017-10-01,523.02
2018-01-01,536.72
2018-04-01,550.47
2018-07-01,558.69
2018-10-01,560.46
2019-01-01,568.32
2019-04-01,577.06
2019-07-01,582.26
2019-10-01,587.02
2020-01-01,593.18
2020-04-01,600.41
2020-07-01,609.9
2020-10-01,622.08
2021-01-01,637.77
2021-04-01,683.0
