DATE,ILSTHPI
1975-01-01,66.28
1975-04-01,62.28
1975-07-01,64.11
1975-10-01,66.75
1976-01-01,67.68
1976-04-01,70.25
1976-07-01,73.41
1976-10-01,72.99
1977-01-01,80.15
1977-04-01,83.77
1977-07-01,83.18
1977-10-01,88.69
1978-01-01,90.96
1978-04-01,98.09
1978-07-01,99.37
1978-10-01,101.96
1979-01-01,97.55
1979-04-01,102.41
1979-07-01,101.13
1979-10-01,99.52
1980-01-01,100.00
1980-04-01,100.78
1980-07-01,102.42
1980-10-01,95.76
1981-01-01,101.82
1981-04-01,106.68
1981-07-01,103.04
1981-10-01,104.55
1982-01-01,95.2
1982-04-01,95.09
1982-07-01,87.4
1982-10-01,102.46
1983-01-01,100.95
1983-04-01,104.37
1983-07-01,105.57
1983-10-01,106.76
1984-01-01,107.49
1984-04-01,110.27
1984-07-01,110.92
1984-10-01,112.52
1985-01-01,113.3
1985-04-01,114.72
1985-07-01,116.07
1985-10-01,118.04
1986-01-01,119.78
1986-04-01,122.43
1986-07-01,125.16
1986-10-01,128.11
1987-01-01,130.57
1987-04-01,135.27
1987-07-01,138.46
1987-10-01,140.4
1988-01-01,143.35
1988-04-01,147.93
1988-07-01,151.25
1988-10-01,152.57
1989-01-01,155.6
1989-04-01,158.58
1989-07-01,162.15
1989-10-01,164.11
1990-01-01,165.93
1990-04-01,167.79
1990-07-01,169.73
1990-10-01,170.21
1991-01-01,172.25
1991-04-01,174.09
1991-07-01,175.31
1991-10-01,177.71
1992-01-01,178.9
1992-04-01,180.48
1992-07-01,182.21
1992-10-01,183.84
1993-01-01,184.97
1993-04-01,186.67
1993-07-01,188.61
1993-10-01,190.27
1994-01-01,192.89
1994-04-01,195.62
1994-07-01,197.35
1994-10-01,197.67
1995-01-01,199.66
1995-04-01,202.51
1995-07-01,204.96
1995-10-01,206.84
1996-01-01,209.05
1996-04-01,209.75
1996-07-01,210.7
1996-10-01,212.77
1997-01-01,214.16
1997-04-01,215.7
1997-07-01,217.89
1997-10-01,219.91
1998-01-01,221.8
1998-04-01,222.71
1998-07-01,224.82
1998-10-01,226.52
1999-01-01,228.55
1999-04-01,231.27
1999-07-01,234.65
1999-10-01,236.99
2000-01-01,241.69
2000-04-01,245.83
2000-07-01,249.87
2000-10-01,252.72
2001-01-01,256.03
2001-04-01,260.47
2001-07-01,265.3
2001-10-01,267.77
2002-01-01,272.39
2002-04-01,277.23
2002-07-01,280.79
2002-10-01,283.98
2003-01-01,286.96
2003-04-01,289.87
2003-07-01,293.97
2003-10-01,303.16
2004-01-01,306.42
2004-04-01,313.43
2004-07-01,323.77
2004-10-01,328.4
2005-01-01,335.14
2005-04-01,342.99
2005-07-01,350.18
2005-10-01,356.52
2006-01-01,361.22
2006-04-01,364.03
2006-07-01,366.79
2006-10-01,370.86
2007-01-01,373.11
2007-04-01,371.91
2007-07-01,368.9
2007-10-01,370.11
2008-01-01,368.54
2008-04-01,361.07
2008-07-01,348.95
2008-10-01,347.83
2009-01-01,346.37
2009-04-01,336.47
2009-07-01,325.85
2009-10-01,322.66
2010-01-01,317.4
2010-04-01,313.7
2010-07-01,316.97
2010-10-01,314.82
2011-01-01,304.08
2011-04-01,297.89
2011-07-01,300.07
2011-10-01,299.98
2012-01-01,296.19
2012-04-01,292.47
2012-07-01,295.77
2012-10-01,295.85
2013-01-01,294.0
2013-04-01,295.87
2013-07-01,296.52
2013-10-01,297.69
2014-01-01,298.54
2014-04-01,304.03
2014-07-01,308.24
2014-10-01,309.54
2015-01-01,312.77
2015-04-01,315.59
2015-07-01,316.72
2015-10-01,318.18
2016-01-01,319.7
2016-04-01,323.92
2016-07-01,328.47
2016-10-01,329.5
2017-01-01,328.4
2017-04-01,332.54
2017-07-01,336.58
2017-10-01,337.38
2018-01-01,339.1
2018-04-01,341.14
2018-07-01,342.42
2018-10-01,341.95
2019-01-01,344.97
2019-04-01,349.82
2019-07-01,353.17
2019-10-01,354.9
2020-01-01,356.44
2020-04-01,358.25
2020-07-01,362.13
2020-10-01,366.43
2021-01-01,370.25
2021-04-01,386.53
