DATE,MNSTHPI
1975-01-01,55.31
1975-04-01,55.39
1975-07-01,58.09
1975-10-01,60.06
1976-01-01,62.29
1976-04-01,62.32
1976-07-01,63.01
1976-10-01,64.43
1977-01-01,66.61
1977-04-01,68.77
1977-07-01,73.1
1977-10-01,74.87
1978-01-01,76.29
1978-04-01,82.1
1978-07-01,85.62
1978-10-01,87.58
1979-01-01,91.28
1979-04-01,94.52
1979-07-01,97.34
1979-10-01,99.25
1980-01-01,100.00
1980-04-01,102.33
1980-07-01,106.65
1980-10-01,104.56
1981-01-01,100.8
1981-04-01,100.04
1981-07-01,103.53
1981-10-01,106.65
1982-01-01,89.34
1982-04-01,91.72
1982-07-01,98.79
1982-10-01,105.9
1983-01-01,109.64
1983-04-01,111.59
1983-07-01,111.46
1983-10-01,109.32
1984-01-01,113.4
1984-04-01,113.53
1984-07-01,115.48
1984-10-01,115.61
1985-01-01,116.69
1985-04-01,118.18
1985-07-01,115.53
1985-10-01,119.78
1986-01-01,121.16
1986-04-01,120.36
1986-07-01,123.97
1986-10-01,123.87
1987-01-01,126.67
1987-04-01,128.91
1987-07-01,130.26
1987-10-01,129.3
1988-01-01,131.65
1988-04-01,133.48
1988-07-01,133.39
1988-10-01,134.23
1989-01-01,134.66
1989-04-01,136.51
1989-07-01,138.52
1989-10-01,139.24
1990-01-01,139.31
1990-04-01,139.32
1990-07-01,140.1
1990-10-01,140.07
1991-01-01,142.07
1991-04-01,143.17
1991-07-01,143.53
1991-10-01,146.04
1992-01-01,146.77
1992-04-01,147.6
1992-07-01,149.29
1992-10-01,150.27
1993-01-01,151.57
1993-04-01,153.04
1993-07-01,154.97
1993-10-01,156.61
1994-01-01,157.57
1994-04-01,160.38
1994-07-01,161.69
1994-10-01,162.2
1995-01-01,163.78
1995-04-01,166.84
1995-07-01,169.88
1995-10-01,171.99
1996-01-01,174.35
1996-04-01,175.55
1996-07-01,177.26
1996-10-01,179.24
1997-01-01,181.43
1997-04-01,183.35
1997-07-01,186.72
1997-10-01,189.37
1998-01-01,192.53
1998-04-01,193.91
1998-07-01,197.92
1998-10-01,200.22
1999-01-01,203.51
1999-04-01,209.61
1999-07-01,216.21
1999-10-01,219.09
2000-01-01,225.31
2000-04-01,231.99
2000-07-01,237.75
2000-10-01,242.38
2001-01-01,248.76
2001-04-01,255.47
2001-07-01,263.21
2001-10-01,266.72
2002-01-01,272.27
2002-04-01,279.54
2002-07-01,285.61
2002-10-01,290.0
2003-01-01,294.0
2003-04-01,297.43
2003-07-01,304.37
2003-10-01,315.35
2004-01-01,319.13
2004-04-01,325.41
2004-07-01,336.4
2004-10-01,341.27
2005-01-01,347.93
2005-04-01,355.05
2005-07-01,361.53
2005-10-01,365.58
2006-01-01,367.39
2006-04-01,365.41
2006-07-01,365.7
2006-10-01,369.73
2007-01-01,371.64
2007-04-01,367.68
2007-07-01,359.91
2007-10-01,358.59
2008-01-01,360.16
2008-04-01,349.18
2008-07-01,338.69
2008-10-01,337.6
2009-01-01,343.57
2009-04-01,333.6
2009-07-01,320.16
2009-10-01,315.85
2010-01-01,311.07
2010-04-01,308.27
2010-07-01,315.19
2010-10-01,311.08
2011-01-01,298.18
2011-04-01,291.37
2011-07-01,295.18
2011-10-01,298.11
2012-01-01,292.6
2012-04-01,290.7
2012-07-01,295.31
2012-10-01,298.53
2013-01-01,299.78
2013-04-01,305.38
2013-07-01,311.84
2013-10-01,312.24
2014-01-01,314.09
2014-04-01,322.08
2014-07-01,325.2
2014-10-01,326.37
2015-01-01,327.14
2015-04-01,334.12
2015-07-01,339.22
2015-10-01,339.96
2016-01-01,341.95
2016-04-01,349.71
2016-07-01,354.99
2016-10-01,357.05
2017-01-01,360.65
2017-04-01,371.36
2017-07-01,376.52
2017-10-01,377.96
2018-01-01,383.32
2018-04-01,392.22
2018-07-01,396.98
2018-10-01,396.42
2019-01-01,400.84
2019-04-01,408.48
2019-07-01,413.23
2019-10-01,415.47
2020-01-01,419.33
2020-04-01,422.85
2020-07-01,431.88
2020-10-01,439.63
2021-01-01,445.86
2021-04-01,469.65
