DATE,MOSTHPI
1975-01-01,65.59
1975-04-01,73.25
1975-07-01,65.55
1975-10-01,65.12
1976-01-01,67.01
1976-04-01,77.3
1976-07-01,69.45
1976-10-01,69.14
1977-01-01,71.33
1977-04-01,81.07
1977-07-01,77.66
1977-10-01,80.1
1978-01-01,82.96
1978-04-01,92.66
1978-07-01,90.0
1978-10-01,90.97
1979-01-01,95.96
1979-04-01,102.73
1979-07-01,98.61
1979-10-01,100.69
1980-01-01,100.00
1980-04-01,111.02
1980-07-01,105.18
1980-10-01,105.53
1981-01-01,103.28
1981-04-01,103.61
1981-07-01,103.07
1981-10-01,102.23
1982-01-01,103.23
1982-04-01,101.75
1982-07-01,103.68
1982-10-01,104.16
1983-01-01,105.59
1983-04-01,108.13
1983-07-01,111.57
1983-10-01,112.63
1984-01-01,113.26
1984-04-01,115.29
1984-07-01,118.92
1984-10-01,118.93
1985-01-01,120.22
1985-04-01,123.54
1985-07-01,125.44
1985-10-01,126.49
1986-01-01,127.4
1986-04-01,129.37
1986-07-01,131.91
1986-10-01,134.03
1987-01-01,135.87
1987-04-01,138.84
1987-07-01,140.23
1987-10-01,140.82
1988-01-01,140.85
1988-04-01,142.87
1988-07-01,143.89
1988-10-01,143.61
1989-01-01,143.57
1989-04-01,145.26
1989-07-01,146.07
1989-10-01,146.74
1990-01-01,146.87
1990-04-01,146.7
1990-07-01,146.88
1990-10-01,145.67
1991-01-01,147.34
1991-04-01,148.12
1991-07-01,148.52
1991-10-01,150.15
1992-01-01,150.95
1992-04-01,151.32
1992-07-01,152.41
1992-10-01,153.36
1993-01-01,153.47
1993-04-01,154.43
1993-07-01,155.53
1993-10-01,156.87
1994-01-01,158.54
1994-04-01,161.47
1994-07-01,163.99
1994-10-01,164.26
1995-01-01,166.38
1995-04-01,168.26
1995-07-01,170.62
1995-10-01,172.08
1996-01-01,173.65
1996-04-01,176.03
1996-07-01,177.29
1996-10-01,179.32
1997-01-01,181.01
1997-04-01,182.66
1997-07-01,184.9
1997-10-01,186.74
1998-01-01,188.45
1998-04-01,190.29
1998-07-01,192.49
1998-10-01,194.16
1999-01-01,196.65
1999-04-01,199.7
1999-07-01,201.97
1999-10-01,204.0
2000-01-01,207.93
2000-04-01,210.43
2000-07-01,213.84
2000-10-01,216.47
2001-01-01,220.1
2001-04-01,223.4
2001-07-01,226.67
2001-10-01,228.93
2002-01-01,232.64
2002-04-01,235.73
2002-07-01,238.65
2002-10-01,241.55
2003-01-01,243.65
2003-04-01,245.37
2003-07-01,248.42
2003-10-01,254.08
2004-01-01,257.11
2004-04-01,260.41
2004-07-01,266.49
2004-10-01,270.09
2005-01-01,274.63
2005-04-01,278.71
2005-07-01,283.66
2005-10-01,286.86
2006-01-01,289.59
2006-04-01,290.0
2006-07-01,292.72
2006-10-01,296.15
2007-01-01,297.59
2007-04-01,298.0
2007-07-01,296.35
2007-10-01,297.62
2008-01-01,298.0
2008-04-01,293.96
2008-07-01,289.11
2008-10-01,289.79
2009-01-01,292.13
2009-04-01,287.41
2009-07-01,280.69
2009-10-01,279.43
2010-01-01,277.32
2010-04-01,275.44
2010-07-01,278.36
2010-10-01,276.59
2011-01-01,269.57
2011-04-01,265.39
2011-07-01,269.16
2011-10-01,270.42
2012-01-01,268.07
2012-04-01,265.56
2012-07-01,268.47
2012-10-01,268.84
2013-01-01,267.7
2013-04-01,268.6
2013-07-01,269.02
2013-10-01,268.54
2014-01-01,269.08
2014-04-01,273.71
2014-07-01,276.1
2014-10-01,278.56
2015-01-01,280.77
2015-04-01,282.89
2015-07-01,285.72
2015-10-01,288.89
2016-01-01,291.46
2016-04-01,295.22
2016-07-01,299.82
2016-10-01,301.33
2017-01-01,302.65
2017-04-01,309.05
2017-07-01,312.86
2017-10-01,315.06
2018-01-01,319.78
2018-04-01,324.97
2018-07-01,328.19
2018-10-01,330.99
2019-01-01,333.61
2019-04-01,339.86
2019-07-01,343.76
2019-10-01,348.37
2020-01-01,352.03
2020-04-01,354.81
2020-07-01,361.14
2020-10-01,368.48
2021-01-01,374.89
2021-04-01,397.33
