DATE,MTSTHPI
1975-01-01,57.42
1975-04-01,56.34
1975-07-01,59.72
1975-10-01,58.64
1976-01-01,60.14
1976-04-01,66.13
1976-07-01,65.38
1976-10-01,65.7
1977-01-01,66.63
1977-04-01,72.32
1977-07-01,77.1
1977-10-01,80.52
1978-01-01,90.06
1978-04-01,89.98
1978-07-01,90.52
1978-10-01,92.25
1979-01-01,95.42
1979-04-01,100.31
1979-07-01,97.47
1979-10-01,104.59
1980-01-01,100.00
1980-04-01,93.29
1980-07-01,108.42
1980-10-01,102.04
1981-01-01,96.15
1981-04-01,102.65
1981-07-01,114.61
1981-10-01,100.72
1982-01-01,105.68
1982-04-01,114.74
1982-07-01,101.25
1982-10-01,113.82
1983-01-01,99.45
1983-04-01,105.44
1983-07-01,110.9
1983-10-01,115.15
1984-01-01,124.04
1984-04-01,121.39
1984-07-01,116.25
1984-10-01,113.0
1985-01-01,116.48
1985-04-01,111.06
1985-07-01,116.73
1985-10-01,119.01
1986-01-01,118.22
1986-04-01,114.98
1986-07-01,115.93
1986-10-01,116.31
1987-01-01,110.96
1987-04-01,113.57
1987-07-01,111.84
1987-10-01,105.63
1988-01-01,110.35
1988-04-01,111.2
1988-07-01,114.55
1988-10-01,113.65
1989-01-01,111.71
1989-04-01,112.83
1989-07-01,115.48
1989-10-01,116.38
1990-01-01,115.36
1990-04-01,117.33
1990-07-01,122.23
1990-10-01,122.59
1991-01-01,120.59
1991-04-01,124.8
1991-07-01,126.88
1991-10-01,131.36
1992-01-01,133.26
1992-04-01,135.53
1992-07-01,139.34
1992-10-01,143.81
1993-01-01,146.42
1993-04-01,150.48
1993-07-01,153.14
1993-10-01,158.23
1994-01-01,160.49
1994-04-01,167.46
1994-07-01,171.63
1994-10-01,172.54
1995-01-01,174.44
1995-04-01,178.3
1995-07-01,182.34
1995-10-01,183.2
1996-01-01,186.2
1996-04-01,187.95
1996-07-01,190.18
1996-10-01,191.1
1997-01-01,191.57
1997-04-01,192.53
1997-07-01,194.93
1997-10-01,198.41
1998-01-01,199.9
1998-04-01,199.62
1998-07-01,201.3
1998-10-01,203.48
1999-01-01,203.43
1999-04-01,205.56
1999-07-01,207.98
1999-10-01,207.53
2000-01-01,210.33
2000-04-01,212.01
2000-07-01,215.33
2000-10-01,218.31
2001-01-01,222.59
2001-04-01,225.27
2001-07-01,227.42
2001-10-01,228.98
2002-01-01,233.96
2002-04-01,236.04
2002-07-01,240.54
2002-10-01,242.94
2003-01-01,245.45
2003-04-01,250.51
2003-07-01,256.17
2003-10-01,262.94
2004-01-01,267.37
2004-04-01,273.92
2004-07-01,283.51
2004-10-01,290.1
2005-01-01,297.33
2005-04-01,309.37
2005-07-01,318.35
2005-10-01,328.86
2006-01-01,335.6
2006-04-01,346.06
2006-07-01,354.81
2006-10-01,361.45
2007-01-01,368.16
2007-04-01,373.32
2007-07-01,376.84
2007-10-01,379.44
2008-01-01,383.13
2008-04-01,381.04
2008-07-01,375.04
2008-10-01,378.6
2009-01-01,380.27
2009-04-01,375.35
2009-07-01,366.32
2009-10-01,363.78
2010-01-01,357.03
2010-04-01,353.08
2010-07-01,357.86
2010-10-01,356.66
2011-01-01,345.74
2011-04-01,344.62
2011-07-01,346.03
2011-10-01,347.58
2012-01-01,349.4
2012-04-01,348.6
2012-07-01,352.23
2012-10-01,357.0
2013-01-01,360.04
2013-04-01,362.85
2013-07-01,367.66
2013-10-01,368.02
2014-01-01,372.48
2014-04-01,374.88
2014-07-01,383.15
2014-10-01,385.17
2015-01-01,387.98
2015-04-01,393.93
2015-07-01,397.41
2015-10-01,401.7
2016-01-01,404.98
2016-04-01,407.26
2016-07-01,414.4
2016-10-01,416.07
2017-01-01,422.6
2017-04-01,427.97
2017-07-01,436.58
2017-10-01,438.02
2018-01-01,444.81
2018-04-01,453.92
2018-07-01,458.2
2018-10-01,463.91
2019-01-01,466.07
2019-04-01,475.68
2019-07-01,483.04
2019-10-01,489.24
2020-01-01,496.58
2020-04-01,498.31
2020-07-01,511.42
2020-10-01,527.3
2021-01-01,544.03
2021-04-01,583.18
