DATE,RISTHPI
1975-01-01,61.51
1975-04-01,66.13
1975-07-01,65.17
1975-10-01,67.44
1976-01-01,66.23
1976-04-01,69.07
1976-07-01,70.85
1976-10-01,69.89
1977-01-01,69.66
1977-04-01,72.78
1977-07-01,75.51
1977-10-01,77.8
1978-01-01,80.44
1978-04-01,82.37
1978-07-01,84.68
1978-10-01,88.15
1979-01-01,90.54
1979-04-01,92.45
1979-07-01,93.56
1979-10-01,101.0
1980-01-01,100.00
1980-04-01,103.36
1980-07-01,102.48
1980-10-01,99.15
1981-01-01,95.48
1981-04-01,106.66
1981-07-01,104.46
1981-10-01,100.62
1982-01-01,104.22
1982-04-01,103.73
1982-07-01,104.24
1982-10-01,108.94
1983-01-01,110.3
1983-04-01,112.08
1983-07-01,119.5
1983-10-01,121.23
1984-01-01,119.71
1984-04-01,121.52
1984-07-01,127.4
1984-10-01,129.22
1985-01-01,131.93
1985-04-01,138.32
1985-07-01,142.66
1985-10-01,151.33
1986-01-01,155.57
1986-04-01,163.25
1986-07-01,174.47
1986-10-01,190.74
1987-01-01,204.43
1987-04-01,216.12
1987-07-01,231.92
1987-10-01,241.47
1988-01-01,250.09
1988-04-01,253.41
1988-07-01,256.05
1988-10-01,258.09
1989-01-01,260.14
1989-04-01,261.55
1989-07-01,267.34
1989-10-01,268.55
1990-01-01,265.57
1990-04-01,261.05
1990-07-01,261.48
1990-10-01,255.91
1991-01-01,256.69
1991-04-01,251.13
1991-07-01,248.25
1991-10-01,251.39
1992-01-01,249.96
1992-04-01,246.58
1992-07-01,246.72
1992-10-01,247.72
1993-01-01,246.25
1993-04-01,246.51
1993-07-01,245.83
1993-10-01,248.18
1994-01-01,246.81
1994-04-01,240.49
1994-07-01,236.04
1994-10-01,233.45
1995-01-01,235.3
1995-04-01,237.92
1995-07-01,242.08
1995-10-01,244.21
1996-01-01,246.74
1996-04-01,241.82
1996-07-01,238.26
1996-10-01,239.9
1997-01-01,241.53
1997-04-01,239.8
1997-07-01,244.78
1997-10-01,247.68
1998-01-01,251.81
1998-04-01,250.59
1998-07-01,253.05
1998-10-01,255.94
1999-01-01,257.96
1999-04-01,260.3
1999-07-01,265.91
1999-10-01,270.47
2000-01-01,279.1
2000-04-01,287.6
2000-07-01,296.68
2000-10-01,302.21
2001-01-01,308.27
2001-04-01,318.77
2001-07-01,331.1
2001-10-01,338.13
2002-01-01,351.14
2002-04-01,368.48
2002-07-01,382.44
2002-10-01,394.5
2003-01-01,406.12
2003-04-01,415.8
2003-07-01,433.12
2003-10-01,461.36
2004-01-01,472.35
2004-04-01,493.86
2004-07-01,528.62
2004-10-01,542.07
2005-01-01,553.17
2005-04-01,575.93
2005-07-01,588.76
2005-10-01,597.67
2006-01-01,603.29
2006-04-01,603.34
2006-07-01,601.65
2006-10-01,601.22
2007-01-01,601.25
2007-04-01,589.97
2007-07-01,578.86
2007-10-01,576.26
2008-01-01,570.02
2008-04-01,547.39
2008-07-01,522.31
2008-10-01,516.28
2009-01-01,519.44
2009-04-01,496.1
2009-07-01,483.59
2009-10-01,483.79
2010-01-01,476.0
2010-04-01,469.12
2010-07-01,476.49
2010-10-01,475.59
2011-01-01,463.77
2011-04-01,448.34
2011-07-01,449.31
2011-10-01,452.23
2012-01-01,445.4
2012-04-01,437.05
2012-07-01,439.15
2012-10-01,441.36
2013-01-01,439.15
2013-04-01,439.84
2013-07-01,440.57
2013-10-01,437.66
2014-01-01,440.16
2014-04-01,447.65
2014-07-01,455.59
2014-10-01,458.39
2015-01-01,462.6
2015-04-01,472.34
2015-07-01,474.19
2015-10-01,477.59
2016-01-01,478.45
2016-04-01,488.75
2016-07-01,497.49
2016-10-01,505.01
2017-01-01,508.23
2017-04-01,518.17
2017-07-01,528.32
2017-10-01,534.67
2018-01-01,545.07
2018-04-01,551.99
2018-07-01,559.76
2018-10-01,561.84
2019-01-01,566.62
2019-04-01,577.32
2019-07-01,584.12
2019-10-01,591.38
2020-01-01,596.47
2020-04-01,603.78
2020-07-01,617.08
2020-10-01,634.92
2021-01-01,650.7
2021-04-01,689.26
