DATE,TNSTHPI
1975-01-01,68.04
1975-04-01,68.69
1975-07-01,67.76
1975-10-01,70.85
1976-01-01,69.94
1976-04-01,68.58
1976-07-01,71.47
1976-10-01,71.94
1977-01-01,75.16
1977-04-01,77.55
1977-07-01,78.12
1977-10-01,79.58
1978-01-01,84.86
1978-04-01,83.69
1978-07-01,87.33
1978-10-01,90.44
1979-01-01,91.01
1979-04-01,92.12
1979-07-01,96.75
1979-10-01,96.3
1980-01-01,100.00
1980-04-01,100.3
1980-07-01,99.47
1980-10-01,100.09
1981-01-01,96.64
1981-04-01,106.64
1981-07-01,108.48
1981-10-01,97.89
1982-01-01,106.06
1982-04-01,99.03
1982-07-01,105.92
1982-10-01,103.97
1983-01-01,110.5
1983-04-01,110.93
1983-07-01,112.4
1983-10-01,114.05
1984-01-01,110.29
1984-04-01,116.54
1984-07-01,110.07
1984-10-01,119.21
1985-01-01,121.2
1985-04-01,122.11
1985-07-01,124.53
1985-10-01,125.94
1986-01-01,128.73
1986-04-01,130.68
1986-07-01,132.91
1986-10-01,134.82
1987-01-01,138.32
1987-04-01,140.76
1987-07-01,141.07
1987-10-01,143.09
1988-01-01,144.22
1988-04-01,144.93
1988-07-01,144.95
1988-10-01,144.57
1989-01-01,145.52
1989-04-01,146.5
1989-07-01,147.09
1989-10-01,147.22
1990-01-01,147.68
1990-04-01,147.5
1990-07-01,147.21
1990-10-01,146.76
1991-01-01,148.08
1991-04-01,148.78
1991-07-01,149.11
1991-10-01,151.54
1992-01-01,152.85
1992-04-01,152.4
1992-07-01,155.76
1992-10-01,155.56
1993-01-01,156.27
1993-04-01,158.45
1993-07-01,160.49
1993-10-01,162.14
1994-01-01,163.91
1994-04-01,166.13
1994-07-01,168.68
1994-10-01,169.84
1995-01-01,172.35
1995-04-01,175.65
1995-07-01,178.22
1995-10-01,180.83
1996-01-01,183.69
1996-04-01,185.4
1996-07-01,187.53
1996-10-01,189.14
1997-01-01,191.61
1997-04-01,193.27
1997-07-01,195.73
1997-10-01,198.42
1998-01-01,201.96
1998-04-01,203.44
1998-07-01,205.94
1998-10-01,208.3
1999-01-01,210.22
1999-04-01,210.78
1999-07-01,212.05
1999-10-01,212.85
2000-01-01,214.73
2000-04-01,215.93
2000-07-01,218.1
2000-10-01,220.06
2001-01-01,225.53
2001-04-01,226.7
2001-07-01,228.09
2001-10-01,230.81
2002-01-01,231.88
2002-04-01,232.28
2002-07-01,235.69
2002-10-01,237.77
2003-01-01,239.36
2003-04-01,241.4
2003-07-01,242.97
2003-10-01,245.57
2004-01-01,247.62
2004-04-01,250.38
2004-07-01,253.96
2004-10-01,257.03
2005-01-01,260.66
2005-04-01,266.31
2005-07-01,271.67
2005-10-01,276.05
2006-01-01,280.58
2006-04-01,285.98
2006-07-01,289.61
2006-10-01,294.96
2007-01-01,297.8
2007-04-01,301.45
2007-07-01,301.75
2007-10-01,303.86
2008-01-01,305.1
2008-04-01,303.98
2008-07-01,299.4
2008-10-01,300.7
2009-01-01,303.31
2009-04-01,300.24
2009-07-01,293.28
2009-10-01,290.46
2010-01-01,287.64
2010-04-01,286.35
2010-07-01,290.4
2010-10-01,288.32
2011-01-01,281.47
2011-04-01,277.86
2011-07-01,281.05
2011-10-01,281.83
2012-01-01,279.36
2012-04-01,278.23
2012-07-01,281.33
2012-10-01,281.82
2013-01-01,282.01
2013-04-01,284.67
2013-07-01,285.35
2013-10-01,287.13
2014-01-01,288.83
2014-04-01,294.52
2014-07-01,296.97
2014-10-01,301.18
2015-01-01,303.83
2015-04-01,307.39
2015-07-01,312.84
2015-10-01,315.66
2016-01-01,319.87
2016-04-01,325.81
2016-07-01,331.63
2016-10-01,336.22
2017-01-01,340.23
2017-04-01,348.61
2017-07-01,355.78
2017-10-01,360.23
2018-01-01,365.88
2018-04-01,374.26
2018-07-01,379.47
2018-10-01,383.41
2019-01-01,387.2
2019-04-01,394.73
2019-07-01,400.61
2019-10-01,405.65
2020-01-01,411.91
2020-04-01,416.02
2020-07-01,425.72
2020-10-01,434.86
2021-01-01,446.21
2021-04-01,471.84
