DATE,WISTHPI
1975-01-01,61.82
1975-04-01,62.69
1975-07-01,64.29
1975-10-01,69.03
1976-01-01,65.73
1976-04-01,65.58
1976-07-01,67.64
1976-10-01,68.3
1977-01-01,72.71
1977-04-01,76.0
1977-07-01,78.02
1977-10-01,80.89
1978-01-01,84.59
1978-04-01,87.55
1978-07-01,90.75
1978-10-01,92.65
1979-01-01,96.65
1979-04-01,99.68
1979-07-01,99.42
1979-10-01,100.12
1980-01-01,100.00
1980-04-01,100.98
1980-07-01,104.94
1980-10-01,101.59
1981-01-01,102.64
1981-04-01,103.02
1981-07-01,103.02
1981-10-01,91.13
1982-01-01,86.42
1982-04-01,96.29
1982-07-01,98.54
1982-10-01,99.47
1983-01-01,103.81
1983-04-01,106.19
1983-07-01,105.84
1983-10-01,105.89
1984-01-01,106.12
1984-04-01,107.92
1984-07-01,107.97
1984-10-01,106.28
1985-01-01,107.93
1985-04-01,109.73
1985-07-01,110.69
1985-10-01,110.79
1986-01-01,112.34
1986-04-01,113.64
1986-07-01,113.95
1986-10-01,114.4
1987-01-01,115.32
1987-04-01,116.62
1987-07-01,118.18
1987-10-01,119.4
1988-01-01,120.24
1988-04-01,122.26
1988-07-01,124.45
1988-10-01,125.09
1989-01-01,127.36
1989-04-01,128.82
1989-07-01,130.97
1989-10-01,131.76
1990-01-01,133.8
1990-04-01,135.95
1990-07-01,137.8
1990-10-01,138.07
1991-01-01,140.03
1991-04-01,142.02
1991-07-01,144.16
1991-10-01,145.56
1992-01-01,147.26
1992-04-01,149.87
1992-07-01,151.72
1992-10-01,153.68
1993-01-01,154.9
1993-04-01,157.1
1993-07-01,159.33
1993-10-01,161.41
1994-01-01,165.65
1994-04-01,171.73
1994-07-01,175.49
1994-10-01,175.73
1995-01-01,177.94
1995-04-01,181.84
1995-07-01,184.34
1995-10-01,186.6
1996-01-01,188.09
1996-04-01,189.89
1996-07-01,192.08
1996-10-01,194.28
1997-01-01,196.48
1997-04-01,198.17
1997-07-01,200.85
1997-10-01,202.86
1998-01-01,204.17
1998-04-01,206.54
1998-07-01,208.96
1998-10-01,209.7
1999-01-01,213.43
1999-04-01,216.85
1999-07-01,219.73
1999-10-01,221.05
2000-01-01,227.8
2000-04-01,228.98
2000-07-01,232.35
2000-10-01,235.18
2001-01-01,238.75
2001-04-01,241.99
2001-07-01,245.19
2001-10-01,247.04
2002-01-01,251.1
2002-04-01,254.58
2002-07-01,257.24
2002-10-01,259.11
2003-01-01,261.79
2003-04-01,264.12
2003-07-01,268.11
2003-10-01,276.92
2004-01-01,279.06
2004-04-01,284.73
2004-07-01,295.24
2004-10-01,298.69
2005-01-01,304.16
2005-04-01,309.59
2005-07-01,315.6
2005-10-01,318.62
2006-01-01,321.07
2006-04-01,320.72
2006-07-01,322.21
2006-10-01,326.15
2007-01-01,327.51
2007-04-01,326.92
2007-07-01,325.24
2007-10-01,326.94
2008-01-01,327.72
2008-04-01,322.82
2008-07-01,317.11
2008-10-01,317.77
2009-01-01,319.28
2009-04-01,314.48
2009-07-01,307.48
2009-10-01,306.58
2010-01-01,302.65
2010-04-01,300.93
2010-07-01,304.09
2010-10-01,302.15
2011-01-01,295.5
2011-04-01,290.57
2011-07-01,293.27
2011-10-01,294.35
2012-01-01,291.59
2012-04-01,289.19
2012-07-01,291.91
2012-10-01,291.92
2013-01-01,290.96
2013-04-01,290.85
2013-07-01,291.08
2013-10-01,289.95
2014-01-01,289.37
2014-04-01,293.95
2014-07-01,297.11
2014-10-01,298.61
2015-01-01,300.59
2015-04-01,303.73
2015-07-01,306.24
2015-10-01,308.11
2016-01-01,310.95
2016-04-01,315.35
2016-07-01,319.53
2016-10-01,321.64
2017-01-01,324.72
2017-04-01,332.51
2017-07-01,336.76
2017-10-01,337.2
2018-01-01,342.14
2018-04-01,350.6
2018-07-01,354.89
2018-10-01,356.21
2019-01-01,359.79
2019-04-01,366.18
2019-07-01,370.89
2019-10-01,373.16
2020-01-01,376.27
2020-04-01,378.9
2020-07-01,386.44
2020-10-01,394.15
2021-01-01,398.87
2021-04-01,420.06
