DATE,WVSTHPI
1975-01-01,50.16
1975-04-01,64.7
1975-07-01,66.54
1975-10-01,66.85
1976-01-01,62.01
1976-04-01,67.09
1976-07-01,68.58
1976-10-01,62.08
1977-01-01,67.04
1977-04-01,84.96
1977-07-01,73.38
1977-10-01,85.57
1978-01-01,84.49
1978-04-01,80.12
1978-07-01,83.4
1978-10-01,84.69
1979-01-01,83.25
1979-04-01,88.83
1979-07-01,88.72
1979-10-01,94.9
1980-01-01,100.00
1980-04-01,104.05
1980-07-01,102.71
1980-10-01,116.2
1981-01-01,99.36
1981-04-01,95.06
1981-07-01,109.47
1981-10-01,108.76
1982-01-01,68.91
1982-04-01,114.11
1982-07-01,84.0
1982-10-01,86.69
1983-01-01,98.39
1983-04-01,92.16
1983-07-01,92.76
1983-10-01,91.73
1984-01-01,98.1
1984-04-01,93.29
1984-07-01,94.36
1984-10-01,86.83
1985-01-01,92.11
1985-04-01,95.36
1985-07-01,92.73
1985-10-01,88.62
1986-01-01,95.87
1986-04-01,96.55
1986-07-01,95.58
1986-10-01,98.38
1987-01-01,97.15
1987-04-01,98.82
1987-07-01,96.43
1987-10-01,97.33
1988-01-01,96.53
1988-04-01,100.02
1988-07-01,98.25
1988-10-01,98.56
1989-01-01,99.24
1989-04-01,101.45
1989-07-01,101.41
1989-10-01,101.21
1990-01-01,101.83
1990-04-01,102.14
1990-07-01,105.11
1990-10-01,103.93
1991-01-01,104.33
1991-04-01,107.4
1991-07-01,106.13
1991-10-01,109.49
1992-01-01,109.66
1992-04-01,111.56
1992-07-01,112.79
1992-10-01,113.78
1993-01-01,114.64
1993-04-01,116.34
1993-07-01,119.0
1993-10-01,119.35
1994-01-01,121.66
1994-04-01,123.32
1994-07-01,124.81
1994-10-01,124.78
1995-01-01,126.21
1995-04-01,128.76
1995-07-01,131.02
1995-10-01,131.41
1996-01-01,133.37
1996-04-01,133.84
1996-07-01,134.36
1996-10-01,134.54
1997-01-01,135.43
1997-04-01,137.93
1997-07-01,138.48
1997-10-01,140.39
1998-01-01,143.31
1998-04-01,143.47
1998-07-01,145.45
1998-10-01,146.79
1999-01-01,147.76
1999-04-01,147.37
1999-07-01,148.03
1999-10-01,146.79
2000-01-01,148.08
2000-04-01,149.16
2000-07-01,150.53
2000-10-01,151.8
2001-01-01,156.14
2001-04-01,157.59
2001-07-01,158.39
2001-10-01,159.94
2002-01-01,160.74
2002-04-01,162.61
2002-07-01,163.96
2002-10-01,166.35
2003-01-01,166.84
2003-04-01,168.48
2003-07-01,170.79
2003-10-01,172.28
2004-01-01,175.22
2004-04-01,178.52
2004-07-01,181.74
2004-10-01,185.19
2005-01-01,189.07
2005-04-01,195.15
2005-07-01,201.85
2005-10-01,204.63
2006-01-01,208.73
2006-04-01,206.75
2006-07-01,209.47
2006-10-01,212.0
2007-01-01,213.33
2007-04-01,212.94
2007-07-01,213.34
2007-10-01,215.07
2008-01-01,215.42
2008-04-01,214.88
2008-07-01,211.33
2008-10-01,209.42
2009-01-01,212.83
2009-04-01,210.19
2009-07-01,206.33
2009-10-01,205.25
2010-01-01,205.06
2010-04-01,204.88
2010-07-01,206.02
2010-10-01,207.59
2011-01-01,202.91
2011-04-01,200.18
2011-07-01,203.42
2011-10-01,204.51
2012-01-01,202.58
2012-04-01,203.24
2012-07-01,204.52
2012-10-01,205.01
2013-01-01,204.45
2013-04-01,205.51
2013-07-01,207.89
2013-10-01,209.38
2014-01-01,208.79
2014-04-01,209.99
2014-07-01,212.27
2014-10-01,212.85
2015-01-01,212.22
2015-04-01,217.67
2015-07-01,216.6
2015-10-01,217.86
2016-01-01,218.77
2016-04-01,219.23
2016-07-01,221.06
2016-10-01,222.37
2017-01-01,219.7
2017-04-01,221.53
2017-07-01,222.72
2017-10-01,226.03
2018-01-01,226.28
2018-04-01,229.42
2018-07-01,228.89
2018-10-01,228.7
2019-01-01,229.42
2019-04-01,232.65
2019-07-01,234.58
2019-10-01,237.55
2020-01-01,239.48
2020-04-01,241.14
2020-07-01,245.72
2020-10-01,249.41
2021-01-01,253.24
2021-04-01,258.88
