DATE,FLSTHPI
1975-01-01,65.94
1975-04-01,83.05
1975-07-01,66.72
1975-10-01,68.12
1976-01-01,67.83
1976-04-01,75.96
1976-07-01,69.28
1976-10-01,70.59
1977-01-01,71.14
1977-04-01,79.06
1977-07-01,72.38
1977-10-01,74.78
1978-01-01,78.54
1978-04-01,83.41
1978-07-01,83.03
1978-10-01,84.7
1979-01-01,89.8
1979-04-01,92.37
1979-07-01,93.7
1979-10-01,98.09
1980-01-01,100.00
1980-04-01,99.76
1980-07-01,105.81
1980-10-01,108.7
1981-01-01,110.31
1981-04-01,112.35
1981-07-01,108.23
1981-10-01,104.88
1982-01-01,113.28
1982-04-01,114.82
1982-07-01,105.2
1982-10-01,113.05
1983-01-01,121.43
1983-04-01,123.74
1983-07-01,124.23
1983-10-01,124.61
1984-01-01,125.64
1984-04-01,126.75
1984-07-01,127.98
1984-10-01,126.37
1985-01-01,127.76
1985-04-01,128.23
1985-07-01,128.05
1985-10-01,129.78
1986-01-01,131.23
1986-04-01,134.66
1986-07-01,135.55
1986-10-01,135.75
1987-01-01,136.44
1987-04-01,138.56
1987-07-01,138.77
1987-10-01,139.78
1988-01-01,141.24
1988-04-01,144.18
1988-07-01,145.29
1988-10-01,146.5
1989-01-01,147.64
1989-04-01,148.62
1989-07-01,151.11
1989-10-01,152.26
1990-01-01,152.96
1990-04-01,152.44
1990-07-01,153.36
1990-10-01,152.78
1991-01-01,154.53
1991-04-01,154.97
1991-07-01,154.76
1991-10-01,157.42
1992-01-01,159.31
1992-04-01,157.87
1992-07-01,160.53
1992-10-01,160.63
1993-01-01,160.87
1993-04-01,162.57
1993-07-01,163.89
1993-10-01,165.5
1994-01-01,165.31
1994-04-01,164.19
1994-07-01,164.47
1994-10-01,164.42
1995-01-01,164.96
1995-04-01,167.23
1995-07-01,170.38
1995-10-01,171.73
1996-01-01,173.56
1996-04-01,172.52
1996-07-01,173.03
1996-10-01,173.98
1997-01-01,175.96
1997-04-01,175.89
1997-07-01,178.23
1997-10-01,181.29
1998-01-01,184.79
1998-04-01,184.62
1998-07-01,186.97
1998-10-01,189.7
1999-01-01,190.82
1999-04-01,192.28
1999-07-01,194.59
1999-10-01,196.97
2000-01-01,200.84
2000-04-01,204.42
2000-07-01,208.71
2000-10-01,213.1
2001-01-01,219.23
2001-04-01,224.77
2001-07-01,229.92
2001-10-01,235.47
2002-01-01,240.17
2002-04-01,247.48
2002-07-01,254.48
2002-10-01,260.23
2003-01-01,265.79
2003-04-01,272.22
2003-07-01,278.75
2003-10-01,291.74
2004-01-01,300.6
2004-04-01,314.73
2004-07-01,334.43
2004-10-01,349.69
2005-01-01,368.41
2005-04-01,395.85
2005-07-01,423.32
2005-10-01,445.68
2006-01-01,463.03
2006-04-01,472.9
2006-07-01,476.36
2006-10-01,479.68
2007-01-01,476.67
2007-04-01,470.43
2007-07-01,453.64
2007-10-01,442.2
2008-01-01,424.5
2008-04-01,395.3
2008-07-01,363.2
2008-10-01,344.75
2009-01-01,350.63
2009-04-01,332.47
2009-07-01,313.35
2009-10-01,305.53
2010-01-01,299.68
2010-04-01,291.39
2010-07-01,294.82
2010-10-01,289.45
2011-01-01,275.7
2011-04-01,267.36
2011-07-01,270.21
2011-10-01,272.54
2012-01-01,267.12
2012-04-01,265.11
2012-07-01,271.58
2012-10-01,275.15
2013-01-01,279.03
2013-04-01,288.36
2013-07-01,295.79
2013-10-01,303.44
2014-01-01,308.04
2014-04-01,316.17
2014-07-01,323.01
2014-10-01,328.86
2015-01-01,336.26
2015-04-01,344.5
2015-07-01,353.0
2015-10-01,360.15
2016-01-01,366.67
2016-04-01,376.11
2016-07-01,386.55
2016-10-01,392.93
2017-01-01,400.41
2017-04-01,410.39
2017-07-01,417.5
2017-10-01,425.57
2018-01-01,434.09
2018-04-01,442.29
2018-07-01,449.37
2018-10-01,452.76
2019-01-01,460.07
2019-04-01,465.93
2019-07-01,473.66
2019-10-01,479.78
2020-01-01,486.85
2020-04-01,493.51
2020-07-01,502.18
2020-10-01,514.74
2021-01-01,529.88
2021-04-01,562.5
