DATE,KSSTHPI
1975-01-01,61.93
1975-04-01,62.43
1975-07-01,63.53
1975-10-01,64.73
1976-01-01,66.72
1976-04-01,67.4
1976-07-01,68.8
1976-10-01,70.69
1977-01-01,72.89
1977-04-01,76.04
1977-07-01,77.55
1977-10-01,79.86
1978-01-01,82.58
1978-04-01,85.14
1978-07-01,88.59
1978-10-01,90.55
1979-01-01,92.45
1979-04-01,94.44
1979-07-01,97.54
1979-10-01,98.12
1980-01-01,100.00
1980-04-01,101.6
1980-07-01,102.22
1980-10-01,104.22
1981-01-01,98.59
1981-04-01,103.31
1981-07-01,103.37
1981-10-01,105.29
1982-01-01,103.66
1982-04-01,104.27
1982-07-01,105.17
1982-10-01,105.32
1983-01-01,106.09
1983-04-01,108.91
1983-07-01,106.63
1983-10-01,107.75
1984-01-01,107.96
1984-04-01,108.14
1984-07-01,107.85
1984-10-01,107.57
1985-01-01,108.8
1985-04-01,109.32
1985-07-01,109.91
1985-10-01,110.68
1986-01-01,112.84
1986-04-01,113.36
1986-07-01,114.38
1986-10-01,114.92
1987-01-01,115.76
1987-04-01,117.59
1987-07-01,117.25
1987-10-01,116.55
1988-01-01,117.17
1988-04-01,118.08
1988-07-01,117.15
1988-10-01,118.78
1989-01-01,117.78
1989-04-01,119.88
1989-07-01,119.52
1989-10-01,120.07
1990-01-01,119.94
1990-04-01,119.43
1990-07-01,119.61
1990-10-01,119.17
1991-01-01,119.66
1991-04-01,120.53
1991-07-01,120.73
1991-10-01,122.21
1992-01-01,122.93
1992-04-01,123.48
1992-07-01,124.95
1992-10-01,125.27
1993-01-01,126.11
1993-04-01,127.02
1993-07-01,128.8
1993-10-01,130.02
1994-01-01,132.13
1994-04-01,136.13
1994-07-01,137.76
1994-10-01,138.94
1995-01-01,140.29
1995-04-01,143.09
1995-07-01,144.45
1995-10-01,146.6
1996-01-01,147.07
1996-04-01,149.81
1996-07-01,151.5
1996-10-01,152.88
1997-01-01,153.36
1997-04-01,155.72
1997-07-01,157.49
1997-10-01,159.38
1998-01-01,161.25
1998-04-01,162.87
1998-07-01,165.65
1998-10-01,167.4
1999-01-01,169.24
1999-04-01,172.54
1999-07-01,174.41
1999-10-01,175.52
2000-01-01,179.07
2000-04-01,180.4
2000-07-01,182.99
2000-10-01,184.82
2001-01-01,188.46
2001-04-01,190.69
2001-07-01,192.84
2001-10-01,194.55
2002-01-01,197.14
2002-04-01,199.04
2002-07-01,201.01
2002-10-01,202.59
2003-01-01,204.16
2003-04-01,205.58
2003-07-01,207.09
2003-10-01,210.36
2004-01-01,212.37
2004-04-01,214.58
2004-07-01,216.78
2004-10-01,219.44
2005-01-01,221.6
2005-04-01,224.71
2005-07-01,227.39
2005-10-01,228.54
2006-01-01,229.62
2006-04-01,231.63
2006-07-01,233.59
2006-10-01,235.84
2007-01-01,237.22
2007-04-01,239.79
2007-07-01,239.13
2007-10-01,239.25
2008-01-01,240.94
2008-04-01,239.45
2008-07-01,236.53
2008-10-01,236.97
2009-01-01,239.78
2009-04-01,238.08
2009-07-01,236.36
2009-10-01,235.86
2010-01-01,234.11
2010-04-01,233.64
2010-07-01,236.26
2010-10-01,236.15
2011-01-01,232.34
2011-04-01,228.74
2011-07-01,231.44
2011-10-01,233.42
2012-01-01,231.65
2012-04-01,230.65
2012-07-01,232.83
2012-10-01,233.14
2013-01-01,234.01
2013-04-01,232.73
2013-07-01,235.34
2013-10-01,234.61
2014-01-01,235.46
2014-04-01,238.8
2014-07-01,242.45
2014-10-01,242.36
2015-01-01,244.32
2015-04-01,247.23
2015-07-01,250.29
2015-10-01,250.45
2016-01-01,252.42
2016-04-01,257.5
2016-07-01,261.44
2016-10-01,263.27
2017-01-01,262.95
2017-04-01,270.31
2017-07-01,272.86
2017-10-01,273.64
2018-01-01,277.84
2018-04-01,283.16
2018-07-01,284.19
2018-10-01,287.09
2019-01-01,288.71
2019-04-01,294.13
2019-07-01,297.96
2019-10-01,299.84
2020-01-01,303.55
2020-04-01,306.84
2020-07-01,313.12
2020-10-01,319.57
2021-01-01,324.87
2021-04-01,343.42
