DATE,MSSTHPI
1975-01-01,75.12
1975-04-01,71.77
1975-07-01,72.53
1975-10-01,72.86
1976-01-01,73.64
1976-04-01,74.58
1976-07-01,71.86
1976-10-01,80.7
1977-01-01,74.45
1977-04-01,77.57
1977-07-01,78.19
1977-10-01,87.23
1978-01-01,86.59
1978-04-01,88.14
1978-07-01,92.93
1978-10-01,90.22
1979-01-01,98.7
1979-04-01,101.99
1979-07-01,106.46
1979-10-01,93.3
1980-01-01,100.00
1980-04-01,97.43
1980-07-01,104.21
1980-10-01,104.02
1981-01-01,93.98
1981-04-01,115.14
1981-07-01,107.68
1981-10-01,93.31
1982-01-01,102.9
1982-04-01,105.47
1982-07-01,108.46
1982-10-01,108.71
1983-01-01,112.37
1983-04-01,112.96
1983-07-01,110.56
1983-10-01,115.0
1984-01-01,118.4
1984-04-01,115.18
1984-07-01,112.85
1984-10-01,114.36
1985-01-01,120.03
1985-04-01,121.95
1985-07-01,122.59
1985-10-01,122.74
1986-01-01,124.0
1986-04-01,125.63
1986-07-01,124.12
1986-10-01,124.66
1987-01-01,126.09
1987-04-01,125.94
1987-07-01,124.25
1987-10-01,123.53
1988-01-01,122.06
1988-04-01,124.12
1988-07-01,121.98
1988-10-01,124.14
1989-01-01,119.69
1989-04-01,123.47
1989-07-01,125.88
1989-10-01,124.65
1990-01-01,126.39
1990-04-01,124.45
1990-07-01,125.79
1990-10-01,124.5
1991-01-01,127.18
1991-04-01,126.07
1991-07-01,126.34
1991-10-01,129.62
1992-01-01,131.28
1992-04-01,131.48
1992-07-01,132.47
1992-10-01,132.96
1993-01-01,133.45
1993-04-01,135.62
1993-07-01,137.36
1993-10-01,138.38
1994-01-01,140.55
1994-04-01,142.65
1994-07-01,144.01
1994-10-01,146.47
1995-01-01,146.49
1995-04-01,149.61
1995-07-01,151.94
1995-10-01,153.67
1996-01-01,154.6
1996-04-01,155.35
1996-07-01,158.28
1996-10-01,159.36
1997-01-01,159.86
1997-04-01,160.92
1997-07-01,163.37
1997-10-01,165.77
1998-01-01,167.78
1998-04-01,170.43
1998-07-01,171.95
1998-10-01,173.73
1999-01-01,176.05
1999-04-01,178.43
1999-07-01,179.23
1999-10-01,179.0
2000-01-01,180.87
2000-04-01,182.19
2000-07-01,184.95
2000-10-01,186.27
2001-01-01,191.01
2001-04-01,192.22
2001-07-01,194.07
2001-10-01,195.75
2002-01-01,196.42
2002-04-01,195.79
2002-07-01,199.37
2002-10-01,201.31
2003-01-01,202.57
2003-04-01,204.18
2003-07-01,205.26
2003-10-01,206.79
2004-01-01,208.88
2004-04-01,211.06
2004-07-01,213.91
2004-10-01,216.83
2005-01-01,218.11
2005-04-01,222.44
2005-07-01,227.03
2005-10-01,232.1
2006-01-01,235.96
2006-04-01,242.84
2006-07-01,247.57
2006-10-01,252.05
2007-01-01,255.87
2007-04-01,255.89
2007-07-01,255.9
2007-10-01,259.25
2008-01-01,259.61
2008-04-01,257.52
2008-07-01,252.82
2008-10-01,255.27
2009-01-01,256.18
2009-04-01,253.63
2009-07-01,248.87
2009-10-01,247.34
2010-01-01,244.74
2010-04-01,241.41
2010-07-01,244.28
2010-10-01,242.53
2011-01-01,237.43
2011-04-01,237.35
2011-07-01,239.71
2011-10-01,240.94
2012-01-01,238.62
2012-04-01,237.22
2012-07-01,239.61
2012-10-01,237.97
2013-01-01,238.21
2013-04-01,237.75
2013-07-01,238.4
2013-10-01,236.83
2014-01-01,239.0
2014-04-01,239.26
2014-07-01,241.67
2014-10-01,244.51
2015-01-01,246.44
2015-04-01,246.48
2015-07-01,249.62
2015-10-01,250.87
2016-01-01,252.16
2016-04-01,253.58
2016-07-01,254.57
2016-10-01,259.09
2017-01-01,258.78
2017-04-01,259.08
2017-07-01,261.96
2017-10-01,263.5
2018-01-01,265.86
2018-04-01,265.72
2018-07-01,267.22
2018-10-01,269.17
2019-01-01,272.35
2019-04-01,275.67
2019-07-01,279.35
2019-10-01,280.45
2020-01-01,285.28
2020-04-01,285.17
2020-07-01,289.54
2020-10-01,294.82
2021-01-01,298.27
2021-04-01,308.12
