DATE,NJSTHPI
1975-01-01,63.78
1975-04-01,59.5
1975-07-01,60.23
1975-10-01,63.0
1976-01-01,62.17
1976-04-01,63.75
1976-07-01,66.01
1976-10-01,62.03
1977-01-01,65.0
1977-04-01,65.91
1977-07-01,67.42
1977-10-01,69.42
1978-01-01,71.19
1978-04-01,73.2
1978-07-01,76.35
1978-10-01,79.46
1979-01-01,84.93
1979-04-01,87.18
1979-07-01,91.75
1979-10-01,94.4
1980-01-01,100.00
1980-04-01,101.64
1980-07-01,100.82
1980-10-01,103.91
1981-01-01,104.34
1981-04-01,106.0
1981-07-01,107.67
1981-10-01,106.11
1982-01-01,105.43
1982-04-01,109.21
1982-07-01,109.31
1982-10-01,109.68
1983-01-01,110.23
1983-04-01,113.85
1983-07-01,117.71
1983-10-01,120.94
1984-01-01,124.0
1984-04-01,130.3
1984-07-01,135.07
1984-10-01,138.36
1985-01-01,142.3
1985-04-01,148.61
1985-07-01,155.14
1985-10-01,162.0
1986-01-01,168.14
1986-04-01,178.22
1986-07-01,189.38
1986-10-01,199.23
1987-01-01,210.29
1987-04-01,221.52
1987-07-01,230.14
1987-10-01,235.5
1988-01-01,240.5
1988-04-01,246.71
1988-07-01,247.34
1988-10-01,246.61
1989-01-01,246.04
1989-04-01,245.55
1989-07-01,246.75
1989-10-01,247.55
1990-01-01,244.49
1990-04-01,239.2
1990-07-01,235.94
1990-10-01,232.05
1991-01-01,230.95
1991-04-01,229.3
1991-07-01,227.97
1991-10-01,230.63
1992-01-01,232.47
1992-04-01,230.52
1992-07-01,232.34
1992-10-01,233.76
1993-01-01,233.66
1993-04-01,235.27
1993-07-01,235.83
1993-10-01,237.31
1994-01-01,237.97
1994-04-01,235.88
1994-07-01,233.58
1994-10-01,230.88
1995-01-01,230.73
1995-04-01,233.3
1995-07-01,237.27
1995-10-01,237.89
1996-01-01,240.94
1996-04-01,239.08
1996-07-01,238.6
1996-10-01,238.48
1997-01-01,240.36
1997-04-01,241.14
1997-07-01,243.93
1997-10-01,246.32
1998-01-01,250.77
1998-04-01,251.73
1998-07-01,254.32
1998-10-01,256.22
1999-01-01,259.37
1999-04-01,263.0
1999-07-01,269.51
1999-10-01,272.36
2000-01-01,279.5
2000-04-01,286.2
2000-07-01,294.64
2000-10-01,299.07
2001-01-01,305.86
2001-04-01,314.56
2001-07-01,323.68
2001-10-01,330.08
2002-01-01,339.63
2002-04-01,352.28
2002-07-01,364.02
2002-10-01,372.45
2003-01-01,379.31
2003-04-01,385.97
2003-07-01,397.71
2003-10-01,417.9
2004-01-01,426.52
2004-04-01,439.97
2004-07-01,469.56
2004-10-01,481.46
2005-01-01,495.84
2005-04-01,517.42
2005-07-01,537.19
2005-10-01,553.54
2006-01-01,564.14
2006-04-01,570.64
2006-07-01,574.08
2006-10-01,576.96
2007-01-01,577.73
2007-04-01,574.13
2007-07-01,567.16
2007-10-01,564.68
2008-01-01,560.99
2008-04-01,544.94
2008-07-01,529.33
2008-10-01,523.84
2009-01-01,522.37
2009-04-01,505.49
2009-07-01,492.66
2009-10-01,488.99
2010-01-01,486.23
2010-04-01,482.59
2010-07-01,485.83
2010-10-01,484.83
2011-01-01,473.37
2011-04-01,463.88
2011-07-01,462.45
2011-10-01,462.59
2012-01-01,456.29
2012-04-01,450.22
2012-07-01,452.65
2012-10-01,453.61
2013-01-01,453.53
2013-04-01,454.39
2013-07-01,454.99
2013-10-01,456.26
2014-01-01,458.77
2014-04-01,463.75
2014-07-01,468.08
2014-10-01,470.12
2015-01-01,473.99
2015-04-01,477.73
2015-07-01,478.86
2015-10-01,479.57
2016-01-01,482.77
2016-04-01,488.28
2016-07-01,492.93
2016-10-01,494.84
2017-01-01,490.56
2017-04-01,498.64
2017-07-01,504.92
2017-10-01,506.44
2018-01-01,510.1
2018-04-01,514.24
2018-07-01,518.08
2018-10-01,518.58
2019-01-01,523.08
2019-04-01,530.74
2019-07-01,538.7
2019-10-01,542.44
2020-01-01,546.98
2020-04-01,552.31
2020-07-01,561.92
2020-10-01,573.69
2021-01-01,586.93
2021-04-01,613.74
