DATE,OHSTHPI
1975-01-01,64.95
1975-04-01,64.81
1975-07-01,64.4
1975-10-01,65.95
1976-01-01,66.57
1976-04-01,68.69
1976-07-01,71.05
1976-10-01,72.42
1977-01-01,73.23
1977-04-01,75.29
1977-07-01,78.83
1977-10-01,81.13
1978-01-01,83.23
1978-04-01,86.41
1978-07-01,89.08
1978-10-01,91.43
1979-01-01,95.69
1979-04-01,98.51
1979-07-01,99.16
1979-10-01,100.83
1980-01-01,100.00
1980-04-01,99.65
1980-07-01,102.07
1980-10-01,103.48
1981-01-01,103.32
1981-04-01,103.61
1981-07-01,103.27
1981-10-01,100.3
1982-01-01,89.19
1982-04-01,96.76
1982-07-01,99.06
1982-10-01,103.02
1983-01-01,102.41
1983-04-01,105.36
1983-07-01,106.16
1983-10-01,105.65
1984-01-01,106.08
1984-04-01,107.25
1984-07-01,107.32
1984-10-01,107.52
1985-01-01,108.17
1985-04-01,109.38
1985-07-01,110.68
1985-10-01,111.55
1986-01-01,113.03
1986-04-01,114.56
1986-07-01,116.42
1986-10-01,117.97
1987-01-01,120.19
1987-04-01,122.63
1987-07-01,125.07
1987-10-01,126.32
1988-01-01,128.47
1988-04-01,131.18
1988-07-01,132.37
1988-10-01,133.6
1989-01-01,135.2
1989-04-01,136.58
1989-07-01,139.46
1989-10-01,140.49
1990-01-01,142.0
1990-04-01,143.33
1990-07-01,145.33
1990-10-01,145.66
1991-01-01,147.32
1991-04-01,149.37
1991-07-01,150.38
1991-10-01,152.62
1992-01-01,154.29
1992-04-01,155.34
1992-07-01,157.47
1992-10-01,159.0
1993-01-01,159.76
1993-04-01,161.59
1993-07-01,163.53
1993-10-01,165.5
1994-01-01,167.38
1994-04-01,170.16
1994-07-01,171.15
1994-10-01,172.65
1995-01-01,173.59
1995-04-01,176.9
1995-07-01,179.98
1995-10-01,182.19
1996-01-01,184.82
1996-04-01,186.56
1996-07-01,187.89
1996-10-01,189.79
1997-01-01,192.27
1997-04-01,193.78
1997-07-01,196.49
1997-10-01,198.9
1998-01-01,201.25
1998-04-01,203.14
1998-07-01,205.62
1998-10-01,207.86
1999-01-01,210.03
1999-04-01,211.86
1999-07-01,212.52
1999-10-01,213.9
2000-01-01,216.12
2000-04-01,218.75
2000-07-01,221.39
2000-10-01,224.28
2001-01-01,228.53
2001-04-01,230.9
2001-07-01,233.07
2001-10-01,234.99
2002-01-01,236.96
2002-04-01,238.59
2002-07-01,240.96
2002-10-01,242.53
2003-01-01,244.31
2003-04-01,246.07
2003-07-01,248.1
2003-10-01,251.49
2004-01-01,253.05
2004-04-01,254.58
2004-07-01,257.51
2004-10-01,260.18
2005-01-01,262.51
2005-04-01,264.61
2005-07-01,267.14
2005-10-01,267.47
2006-01-01,267.52
2006-04-01,266.44
2006-07-01,265.83
2006-10-01,266.87
2007-01-01,266.99
2007-04-01,265.4
2007-07-01,262.47
2007-10-01,262.42
2008-01-01,263.63
2008-04-01,259.63
2008-07-01,253.19
2008-10-01,253.72
2009-01-01,258.31
2009-04-01,252.46
2009-07-01,247.42
2009-10-01,247.02
2010-01-01,244.24
2010-04-01,242.4
2010-07-01,245.67
2010-10-01,244.62
2011-01-01,237.18
2011-04-01,233.62
2011-07-01,236.56
2011-10-01,237.27
2012-01-01,234.44
2012-04-01,233.28
2012-07-01,235.51
2012-10-01,234.97
2013-01-01,233.92
2013-04-01,234.65
2013-07-01,235.84
2013-10-01,235.64
2014-01-01,236.08
2014-04-01,241.25
2014-07-01,243.91
2014-10-01,245.0
2015-01-01,246.43
2015-04-01,250.53
2015-07-01,253.12
2015-10-01,253.86
2016-01-01,255.06
2016-04-01,259.54
2016-07-01,264.9
2016-10-01,264.51
2017-01-01,265.99
2017-04-01,273.63
2017-07-01,277.29
2017-10-01,278.3
2018-01-01,282.09
2018-04-01,288.31
2018-07-01,292.64
2018-10-01,293.27
2019-01-01,296.54
2019-04-01,302.87
2019-07-01,307.34
2019-10-01,310.15
2020-01-01,314.72
2020-04-01,317.39
2020-07-01,325.25
2020-10-01,332.85
2021-01-01,338.47
2021-04-01,355.49
