DATE,OKSTHPI
1975-01-01,52.09
1975-04-01,52.93
1975-07-01,52.48
1975-10-01,53.32
1976-01-01,54.62
1976-04-01,60.8
1976-07-01,59.28
1976-10-01,62.09
1977-01-01,63.8
1977-04-01,63.74
1977-07-01,67.87
1977-10-01,69.6
1978-01-01,72.04
1978-04-01,77.86
1978-07-01,81.82
1978-10-01,84.26
1979-01-01,88.32
1979-04-01,90.62
1979-07-01,93.41
1979-10-01,95.93
1980-01-01,100.00
1980-04-01,98.88
1980-07-01,103.96
1980-10-01,101.58
1981-01-01,102.76
1981-04-01,106.34
1981-07-01,111.62
1981-10-01,113.28
1982-01-01,116.01
1982-04-01,118.92
1982-07-01,119.82
1982-10-01,122.88
1983-01-01,123.78
1983-04-01,125.8
1983-07-01,126.79
1983-10-01,126.22
1984-01-01,122.38
1984-04-01,122.11
1984-07-01,120.18
1984-10-01,119.66
1985-01-01,118.83
1985-04-01,117.04
1985-07-01,117.32
1985-10-01,114.24
1986-01-01,115.91
1986-04-01,117.12
1986-07-01,113.01
1986-10-01,111.43
1987-01-01,111.35
1987-04-01,108.17
1987-07-01,102.53
1987-10-01,100.24
1988-01-01,98.1
1988-04-01,98.97
1988-07-01,97.06
1988-10-01,97.58
1989-01-01,98.24
1989-04-01,99.72
1989-07-01,101.22
1989-10-01,100.46
1990-01-01,100.16
1990-04-01,101.32
1990-07-01,101.06
1990-10-01,100.67
1991-01-01,102.46
1991-04-01,103.81
1991-07-01,104.11
1991-10-01,106.02
1992-01-01,106.65
1992-04-01,106.65
1992-07-01,108.3
1992-10-01,108.8
1993-01-01,109.21
1993-04-01,111.11
1993-07-01,112.52
1993-10-01,114.28
1994-01-01,114.84
1994-04-01,117.02
1994-07-01,117.08
1994-10-01,117.21
1995-01-01,117.93
1995-04-01,120.04
1995-07-01,122.01
1995-10-01,122.6
1996-01-01,124.12
1996-04-01,124.94
1996-07-01,125.78
1996-10-01,126.52
1997-01-01,127.36
1997-04-01,128.02
1997-07-01,129.69
1997-10-01,131.61
1998-01-01,133.3
1998-04-01,134.39
1998-07-01,135.81
1998-10-01,138.05
1999-01-01,138.69
1999-04-01,140.08
1999-07-01,142.07
1999-10-01,142.17
2000-01-01,143.61
2000-04-01,145.32
2000-07-01,147.67
2000-10-01,148.58
2001-01-01,152.06
2001-04-01,153.58
2001-07-01,155.23
2001-10-01,156.95
2002-01-01,157.77
2002-04-01,159.34
2002-07-01,161.53
2002-10-01,163.45
2003-01-01,164.45
2003-04-01,166.56
2003-07-01,167.71
2003-10-01,169.32
2004-01-01,171.32
2004-04-01,172.86
2004-07-01,174.14
2004-10-01,177.03
2005-01-01,178.28
2005-04-01,181.24
2005-07-01,184.66
2005-10-01,186.84
2006-01-01,188.18
2006-04-01,190.53
2006-07-01,191.96
2006-10-01,194.74
2007-01-01,197.21
2007-04-01,198.05
2007-07-01,200.71
2007-10-01,202.45
2008-01-01,203.52
2008-04-01,204.63
2008-07-01,202.98
2008-10-01,203.13
2009-01-01,206.46
2009-04-01,204.69
2009-07-01,203.44
2009-10-01,204.02
2010-01-01,202.47
2010-04-01,202.29
2010-07-01,204.28
2010-10-01,203.63
2011-01-01,199.44
2011-04-01,199.47
2011-07-01,199.01
2011-10-01,201.9
2012-01-01,202.02
2012-04-01,201.78
2012-07-01,203.35
2012-10-01,204.48
2013-01-01,204.54
2013-04-01,206.4
2013-07-01,207.51
2013-10-01,206.89
2014-01-01,209.36
2014-04-01,211.07
2014-07-01,214.02
2014-10-01,215.0
2015-01-01,216.88
2015-04-01,219.83
2015-07-01,222.31
2015-10-01,223.78
2016-01-01,223.67
2016-04-01,225.79
2016-07-01,228.43
2016-10-01,228.3
2017-01-01,231.14
2017-04-01,234.35
2017-07-01,235.41
2017-10-01,236.7
2018-01-01,237.52
2018-04-01,241.09
2018-07-01,242.28
2018-10-01,243.04
2019-01-01,246.47
2019-04-01,248.34
2019-07-01,252.84
2019-10-01,254.85
2020-01-01,258.12
2020-04-01,260.17
2020-07-01,264.21
2020-10-01,268.78
2021-01-01,273.91
2021-04-01,284.73
