DATE,PASTHPI
1975-01-01,70.79
1975-04-01,69.69
1975-07-01,74.17
1975-10-01,71.8
1976-01-01,72.73
1976-04-01,76.73
1976-07-01,77.57
1976-10-01,75.21
1977-01-01,74.59
1977-04-01,80.4
1977-07-01,80.98
1977-10-01,83.79
1978-01-01,84.1
1978-04-01,87.46
1978-07-01,86.5
1978-10-01,87.96
1979-01-01,92.33
1979-04-01,96.95
1979-07-01,96.25
1979-10-01,98.86
1980-01-01,100.00
1980-04-01,96.24
1980-07-01,101.62
1980-10-01,101.61
1981-01-01,101.63
1981-04-01,103.88
1981-07-01,104.45
1981-10-01,101.44
1982-01-01,103.85
1982-04-01,104.01
1982-07-01,104.49
1982-10-01,105.3
1983-01-01,108.72
1983-04-01,110.54
1983-07-01,112.86
1983-10-01,113.75
1984-01-01,113.82
1984-04-01,116.91
1984-07-01,118.7
1984-10-01,119.61
1985-01-01,121.12
1985-04-01,124.26
1985-07-01,126.72
1985-10-01,128.43
1986-01-01,131.44
1986-04-01,135.14
1986-07-01,139.75
1986-10-01,144.43
1987-01-01,149.19
1987-04-01,155.21
1987-07-01,162.82
1987-10-01,168.37
1988-01-01,171.81
1988-04-01,179.04
1988-07-01,183.74
1988-10-01,185.49
1989-01-01,187.74
1989-04-01,189.07
1989-07-01,193.24
1989-10-01,195.6
1990-01-01,195.88
1990-04-01,196.21
1990-07-01,196.71
1990-10-01,196.0
1991-01-01,197.63
1991-04-01,199.14
1991-07-01,199.27
1991-10-01,202.86
1992-01-01,203.92
1992-04-01,203.58
1992-07-01,205.5
1992-10-01,206.81
1993-01-01,206.5
1993-04-01,207.93
1993-07-01,208.69
1993-10-01,210.56
1994-01-01,210.49
1994-04-01,209.33
1994-07-01,207.67
1994-10-01,206.04
1995-01-01,205.44
1995-04-01,208.82
1995-07-01,212.47
1995-10-01,213.65
1996-01-01,216.33
1996-04-01,213.86
1996-07-01,213.08
1996-10-01,214.49
1997-01-01,215.83
1997-04-01,215.7
1997-07-01,217.83
1997-10-01,220.07
1998-01-01,223.59
1998-04-01,224.06
1998-07-01,224.89
1998-10-01,227.9
1999-01-01,229.46
1999-04-01,230.14
1999-07-01,231.14
1999-10-01,232.19
2000-01-01,234.51
2000-04-01,237.96
2000-07-01,240.45
2000-10-01,243.29
2001-01-01,249.56
2001-04-01,253.57
2001-07-01,256.97
2001-10-01,260.21
2002-01-01,264.23
2002-04-01,268.87
2002-07-01,274.39
2002-10-01,279.16
2003-01-01,282.35
2003-04-01,286.02
2003-07-01,291.95
2003-10-01,300.61
2004-01-01,305.85
2004-04-01,313.88
2004-07-01,326.9
2004-10-01,334.16
2005-01-01,341.2
2005-04-01,352.83
2005-07-01,364.41
2005-10-01,371.93
2006-01-01,378.68
2006-04-01,382.83
2006-07-01,387.19
2006-10-01,391.78
2007-01-01,395.24
2007-04-01,396.9
2007-07-01,395.09
2007-10-01,396.78
2008-01-01,399.58
2008-04-01,394.59
2008-07-01,387.83
2008-10-01,387.31
2009-01-01,391.2
2009-04-01,385.37
2009-07-01,378.04
2009-10-01,376.76
2010-01-01,374.25
2010-04-01,372.29
2010-07-01,376.73
2010-10-01,375.8
2011-01-01,369.98
2011-04-01,364.91
2011-07-01,365.4
2011-10-01,366.89
2012-01-01,363.79
2012-04-01,362.11
2012-07-01,364.03
2012-10-01,365.07
2013-01-01,365.3
2013-04-01,366.52
2013-07-01,368.2
2013-10-01,367.44
2014-01-01,367.53
2014-04-01,372.37
2014-07-01,374.95
2014-10-01,375.71
2015-01-01,379.7
2015-04-01,382.4
2015-07-01,383.94
2015-10-01,384.56
2016-01-01,386.43
2016-04-01,392.45
2016-07-01,396.56
2016-10-01,397.46
2017-01-01,398.47
2017-04-01,405.91
2017-07-01,411.06
2017-10-01,412.1
2018-01-01,416.99
2018-04-01,422.8
2018-07-01,426.81
2018-10-01,427.22
2019-01-01,431.87
2019-04-01,439.91
2019-07-01,445.73
2019-10-01,448.7
2020-01-01,454.37
2020-04-01,458.02
2020-07-01,468.23
2020-10-01,476.38
2021-01-01,486.86
2021-04-01,507.3
