DATE,WASTHPI
1975-01-01,46.18
1975-04-01,47.21
1975-07-01,49.6
1975-10-01,47.99
1976-01-01,50.35
1976-04-01,53.57
1976-07-01,56.55
1976-10-01,57.73
1977-01-01,59.73
1977-04-01,62.9
1977-07-01,67.33
1977-10-01,70.78
1978-01-01,74.34
1978-04-01,79.71
1978-07-01,83.9
1978-10-01,86.86
1979-01-01,88.96
1979-04-01,93.82
1979-07-01,95.96
1979-10-01,98.04
1980-01-01,100.00
1980-04-01,100.41
1980-07-01,103.5
1980-10-01,101.89
1981-01-01,99.84
1981-04-01,104.1
1981-07-01,105.32
1981-10-01,103.74
1982-01-01,86.92
1982-04-01,93.73
1982-07-01,93.99
1982-10-01,103.71
1983-01-01,104.94
1983-04-01,104.78
1983-07-01,104.08
1983-10-01,104.89
1984-01-01,106.95
1984-04-01,107.61
1984-07-01,109.31
1984-10-01,110.1
1985-01-01,110.62
1985-04-01,110.94
1985-07-01,111.68
1985-10-01,112.16
1986-01-01,113.61
1986-04-01,114.26
1986-07-01,114.77
1986-10-01,115.99
1987-01-01,117.16
1987-04-01,118.15
1987-07-01,118.96
1987-10-01,119.72
1988-01-01,122.02
1988-04-01,123.87
1988-07-01,126.43
1988-10-01,127.92
1989-01-01,132.32
1989-04-01,137.97
1989-07-01,144.55
1989-10-01,153.26
1990-01-01,164.33
1990-04-01,173.65
1990-07-01,176.51
1990-10-01,177.79
1991-01-01,182.02
1991-04-01,183.68
1991-07-01,184.44
1991-10-01,188.3
1992-01-01,189.18
1992-04-01,190.93
1992-07-01,193.51
1992-10-01,195.5
1993-01-01,196.37
1993-04-01,198.5
1993-07-01,201.19
1993-10-01,203.46
1994-01-01,205.99
1994-04-01,209.86
1994-07-01,211.14
1994-10-01,210.58
1995-01-01,212.69
1995-04-01,215.08
1995-07-01,218.28
1995-10-01,220.01
1996-01-01,222.01
1996-04-01,222.24
1996-07-01,223.48
1996-10-01,225.33
1997-01-01,226.9
1997-04-01,229.84
1997-07-01,234.54
1997-10-01,237.7
1998-01-01,242.3
1998-04-01,245.84
1998-07-01,250.45
1998-10-01,253.28
1999-01-01,255.69
1999-04-01,260.13
1999-07-01,263.1
1999-10-01,265.18
2000-01-01,269.83
2000-04-01,272.59
2000-07-01,276.27
2000-10-01,279.79
2001-01-01,286.61
2001-04-01,290.48
2001-07-01,293.42
2001-10-01,295.39
2002-01-01,299.0
2002-04-01,302.63
2002-07-01,306.31
2002-10-01,308.92
2003-01-01,311.46
2003-04-01,314.13
2003-07-01,318.02
2003-10-01,326.1
2004-01-01,331.05
2004-04-01,340.96
2004-07-01,355.17
2004-10-01,363.38
2005-01-01,375.1
2005-04-01,395.01
2005-07-01,412.55
2005-10-01,429.82
2006-01-01,445.15
2006-04-01,460.61
2006-07-01,474.18
2006-10-01,484.35
2007-01-01,493.07
2007-04-01,498.62
2007-07-01,499.89
2007-10-01,502.69
2008-01-01,501.29
2008-04-01,491.46
2008-07-01,476.87
2008-10-01,471.79
2009-01-01,468.1
2009-04-01,448.16
2009-07-01,433.18
2009-10-01,427.44
2010-01-01,419.98
2010-04-01,415.21
2010-07-01,415.06
2010-10-01,407.75
2011-01-01,394.04
2011-04-01,384.06
2011-07-01,385.3
2011-10-01,385.6
2012-01-01,379.38
2012-04-01,376.15
2012-07-01,383.07
2012-10-01,387.62
2013-01-01,390.43
2013-04-01,397.69
2013-07-01,406.25
2013-10-01,410.14
2014-01-01,414.79
2014-04-01,425.72
2014-07-01,434.93
2014-10-01,439.27
2015-01-01,445.18
2015-04-01,458.37
2015-07-01,471.22
2015-10-01,479.02
2016-01-01,488.7
2016-04-01,506.22
2016-07-01,521.38
2016-10-01,528.77
2017-01-01,538.7
2017-04-01,559.78
2017-07-01,576.77
2017-10-01,585.02
2018-01-01,598.96
2018-04-01,620.36
2018-07-01,627.18
2018-10-01,628.92
2019-01-01,637.33
2019-04-01,650.1
2019-07-01,658.33
2019-10-01,665.6
2020-01-01,676.66
2020-04-01,687.39
2020-07-01,702.91
2020-10-01,720.84
2021-01-01,740.94
2021-04-01,796.02
