DATE,WYSTHPI
1975-01-01,49.3
1975-04-01,48.13
1975-07-01,50.29
1975-10-01,53.68
1976-01-01,54.62
1976-04-01,55.49
1976-07-01,58.66
1976-10-01,62.89
1977-01-01,63.38
1977-04-01,64.83
1977-07-01,67.23
1977-10-01,71.16
1978-01-01,73.12
1978-04-01,76.68
1978-07-01,78.83
1978-10-01,82.38
1979-01-01,87.45
1979-04-01,92.38
1979-07-01,97.8
1979-10-01,96.65
1980-01-01,100.00
1980-04-01,97.55
1980-07-01,101.4
1980-10-01,94.88
1981-01-01,106.97
1981-04-01,109.67
1981-07-01,109.75
1981-10-01,109.53
1982-01-01,110.59
1982-04-01,108.05
1982-07-01,109.07
1982-10-01,112.58
1983-01-01,110.89
1983-04-01,105.82
1983-07-01,103.11
1983-10-01,98.96
1984-01-01,100.31
1984-04-01,95.78
1984-07-01,98.49
1984-10-01,95.96
1985-01-01,97.3
1985-04-01,95.15
1985-07-01,94.08
1985-10-01,94.28
1986-01-01,97.43
1986-04-01,97.8
1986-07-01,94.77
1986-10-01,90.58
1987-01-01,93.31
1987-04-01,87.8
1987-07-01,82.88
1987-10-01,78.84
1988-01-01,81.1
1988-04-01,76.55
1988-07-01,81.13
1988-10-01,81.45
1989-01-01,77.13
1989-04-01,83.81
1989-07-01,83.5
1989-10-01,83.45
1990-01-01,87.97
1990-04-01,85.47
1990-07-01,91.17
1990-10-01,89.92
1991-01-01,90.03
1991-04-01,93.4
1991-07-01,94.7
1991-10-01,95.73
1992-01-01,96.73
1992-04-01,98.28
1992-07-01,99.98
1992-10-01,102.31
1993-01-01,102.81
1993-04-01,105.91
1993-07-01,108.66
1993-10-01,111.25
1994-01-01,113.83
1994-04-01,116.72
1994-07-01,120.29
1994-10-01,121.95
1995-01-01,123.73
1995-04-01,126.45
1995-07-01,127.9
1995-10-01,130.79
1996-01-01,132.28
1996-04-01,133.22
1996-07-01,134.46
1996-10-01,134.54
1997-01-01,135.4
1997-04-01,137.02
1997-07-01,138.18
1997-10-01,140.32
1998-01-01,142.21
1998-04-01,142.12
1998-07-01,142.96
1998-10-01,143.26
1999-01-01,144.1
1999-04-01,146.31
1999-07-01,147.68
1999-10-01,148.17
2000-01-01,150.2
2000-04-01,151.74
2000-07-01,153.24
2000-10-01,156.62
2001-01-01,157.7
2001-04-01,160.72
2001-07-01,163.15
2001-10-01,165.2
2002-01-01,168.38
2002-04-01,170.72
2002-07-01,173.75
2002-10-01,175.54
2003-01-01,177.58
2003-04-01,181.54
2003-07-01,184.02
2003-10-01,187.5
2004-01-01,191.25
2004-04-01,196.32
2004-07-01,203.62
2004-10-01,207.47
2005-01-01,211.93
2005-04-01,218.41
2005-07-01,226.6
2005-10-01,232.74
2006-01-01,239.24
2006-04-01,246.91
2006-07-01,254.96
2006-10-01,261.66
2007-01-01,267.74
2007-04-01,274.84
2007-07-01,278.38
2007-10-01,279.91
2008-01-01,281.46
2008-04-01,282.22
2008-07-01,280.33
2008-10-01,280.16
2009-01-01,280.26
2009-04-01,279.83
2009-07-01,273.06
2009-10-01,270.77
2010-01-01,266.5
2010-04-01,267.58
2010-07-01,267.36
2010-10-01,267.63
2011-01-01,263.92
2011-04-01,261.1
2011-07-01,264.56
2011-10-01,264.52
2012-01-01,265.1
2012-04-01,265.64
2012-07-01,267.73
2012-10-01,270.0
2013-01-01,271.01
2013-04-01,273.54
2013-07-01,273.68
2013-10-01,274.58
2014-01-01,277.77
2014-04-01,279.27
2014-07-01,283.62
2014-10-01,285.45
2015-01-01,288.11
2015-04-01,289.34
2015-07-01,295.69
2015-10-01,294.57
2016-01-01,294.27
2016-04-01,297.48
2016-07-01,300.0
2016-10-01,300.05
2017-01-01,298.32
2017-04-01,301.72
2017-07-01,302.45
2017-10-01,306.1
2018-01-01,311.38
2018-04-01,309.81
2018-07-01,315.09
2018-10-01,317.38
2019-01-01,316.78
2019-04-01,325.31
2019-07-01,330.08
2019-10-01,334.2
2020-01-01,337.57
2020-04-01,339.72
2020-07-01,344.74
2020-10-01,351.34
2021-01-01,356.87
2021-04-01,371.11
